"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""NEXT Weather: 5 p.m. report""","https://www.cbsnews.com/minnesota/video/next-weather-5-p-m-report-158/","2023-03-23 22:31:00","CBS Minnesota","Minnesota Cbs Local","United States Of America","Environment","English","We'll be heading back into the 40s on Friday, Meteorologist Chris Shaffer says.","https://assets3.cbsnewsstatic.com/hub/i/r/2023/03/23/fca9c7ef-7898-47ed-9280-815992d6a9ef/thumbnail/1024x576/942f0bd74acbffcabbba715a46e4d9cc/cfe009aced86f7d987336586d8a318cf.jpg",""
"""NEXT Weather: 4 p.m. weather report""","https://www.cbsnews.com/minnesota/video/next-weather-4-p-m-weather-report-57/","2023-03-23 21:21:00","CBS Minnesota","Minnesota Cbs Local","United States Of America","Environment","English","WCCO meteorologist Mike Augustyniak says that we've got an outside shot at a 50-degree day just before the month's end, but don't get too excited.","https://assets1.cbsnewsstatic.com/hub/i/r/2023/03/23/90e12763-4d31-4cd3-9b5b-14cba33b5bee/thumbnail/1024x576/f517070dca545b8dcaba70caa718233f/4e03d97a79f686b25f538247bc614f4c.jpg",""
"""NOAA still cautions potential for ""major"" spring flooding along Mississippi River""","https://www.cbsnews.com/minnesota/news/noaa-still-cautions-potential-for-major-spring-flooding-along-mississippi-river/","2023-03-23 21:20:00","Marielle Mohs","Minnesota Cbs Local","United States Of America","Environment","English","According to the NOAA, the flood potential for this segment of the river is ""well above normal"" and flood risk numbers indicate flooding could be the worst seen in over 20 years in portions of the Mississippi.","https://assets1.cbsnewsstatic.com/hub/i/r/2018/07/03/a5ba4728-f4cb-46bf-adbb-88cc7b7fd460/thumbnail/1024x576/8c7ff7f624d49348da394fbaf0fcad2c/flash-flooding.jpg",""
"""NEXT Weather: Noon weather report""","https://www.cbsnews.com/minnesota/video/next-weather-noon-weather-report-76/","2023-03-23 17:18:00","CBS Minnesota","Minnesota Cbs Local","United States Of America","Environment","English","WCCO meteorologist Joseph Dames says temperatures will peak in the the low to mid 30s for much of the state Thursday.","https://assets1.cbsnewsstatic.com/hub/i/r/2023/03/23/4600023c-000a-471e-bdbc-c0b5d35d9381/thumbnail/1024x576/ae22f00800fc45489c3e2d1977867f2e/63f839b0c52b50bd57be22978dfd0a9b.jpg",""
"""Chicago had its 4th warmest winter in 70 years, and spring flowers are weeks ahead of schedule""","https://www.chicagotribune.com/news/environment/ct-chicago-fourth-warmest-winter-20230323-b34b7h3pibc63jh5znjq3rto6e-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/environment/","2023-03-23 16:12:13","Nara Schoenberg","Chicago Tribune","United States Of America","Environment","English","If another freeze occurs, tulips, daffodils, elderberry bushes and fruit-bearing trees, such as peach and apple, could be vulnerable.","https://www.chicagotribune.com/resizer/sYpC3mbufpd-CTVBdU-2pGiO-vI=/cloudfront-us-east-1.images.arcpublishing.com/tronc/3F5HVBE7XNEHNIOQFQ5JBJALCE.jpg",""
"""NEXT Weather: 9 a.m. weather report""","https://www.cbsnews.com/minnesota/video/next-weather-9-a-m-weather-report-104/","2023-03-23 14:29:00","CBS Minnesota","Minnesota Cbs Local","United States Of America","Environment","English","WCCO meteorologist Riley O'Connor says temps will peak in the low to mid 30s for much of the state, with the Twin Cities reaching the upper 30s.","https://assets3.cbsnewsstatic.com/hub/i/r/2023/03/23/21f7c9ba-e751-4aa1-a2eb-c7dfe1c86189/thumbnail/1024x576/92f7ad44fedfd35641b1f97ba06ce35d/1edcd2eedcc86473b9ccee923c192cc2.jpg",""
"""Storms Move Out But A New Weather System Could Hit SoCal Next Week""","https://laist.com/news/climate-environment/southern-california-storms","2023-03-23 13:28:41","","Laist","United States Of America","Environment","English","We have the latest on damage and clean up from the heavy rains, winds and tornadoes that hit the region this week.","",""
"""NEXT Weather: 6:30 a.m. report""","https://www.cbsnews.com/minnesota/video/next-weather-630-a-m-report-28/","2023-03-23 11:58:00","CBS Minnesota","Minnesota Cbs Local","United States Of America","Environment","English","Thursday's temps will be below average, but we've got a weekend warmup on the way.","https://assets3.cbsnewsstatic.com/hub/i/r/2023/03/23/12558eab-95ad-4842-94a2-6f36e73fc35c/thumbnail/1024x576/fdac5a3694d6fbe419d2daa6e1a2d7b2/40a270dc4f0b7d3633569665aed5d92c.jpg",""
"""NEXT Weather: 5 a.m. report""","https://www.cbsnews.com/minnesota/video/next-weather-5-a-m-report-62/","2023-03-23 10:25:00","CBS Minnesota","Minnesota Cbs Local","United States Of America","Environment","English","Temperatures will be below average again on Thursday, but a slight warmup is coming in the next couple of days.","https://assets1.cbsnewsstatic.com/hub/i/r/2023/03/23/a9c769a8-dbf7-4212-9df6-9894d23064c0/thumbnail/1024x576/f9c795d3df165528e0c1103cf4edf542/424b113fa417ca70935dc1c98fc22fd0.jpg",""
"""Next Weather: WBZ morning forecast for March 23""","https://www.cbsnews.com/boston/video/next-weather-wbz-morning-forecast-for-march-23/","2023-03-23 09:27:00","","Cbs Boston","United States Of America","Environment","English","Lexie O’Connor has your latest weather forecast.","https://assets3.cbsnewsstatic.com/hub/i/r/2023/03/23/ca140892-ac70-40e5-ac7f-6876514c265b/thumbnail/1024x576/ff34b6b75811ed9a53ab87ef64730a51/ab37d0cf46a6412522143ba8d8fc32c1.jpg",""
