ID,Ungrammatical,Grammatical
1,记者 采访 了 研发 产品 。,记者 采访 了 研发 产品 的 科学家 。
2,他 拿出 了 有 苹果 。,他 拿出 了 有 苹果 的 篮子 。
3,他 认识 了 写 书 。,他 认识 了 写 书 的 老师 。
4,他 拍 下 了 获得 大奖 。,他 拍 下 了 获得 大奖 的 艺术品 。
5,我们 参加 了 吸引 学生 。,我们 参加 了 吸引 学生 的 活动 。
6,他 想起 了 写 过 歌 。,他 想起 了 写 过 歌 的 同学 。
7,司机 启动 了 装有 音响 。,司机 启动 了 装有 音响 的 车 。
8,爸爸 买 了 有 家具 。,爸爸 买 了 有 家具 的 房子 。
9,他 损失 了 买 菜 。,他 损失 了 买 菜 的 现金 。
10,我 拜访 了 去 过 中国 。,我 拜访 了 去 过 中国 的 邻居 。
11,爷爷 中止 了 引发 争吵 。,爷爷 中止 了 引发 争吵 的 谈话 。
12,她 提到 了 看 电视 。,她 提到 了 看 电视 的 女儿 。
13,学生 们 写 着 有 题 。,学生 们 写 着 有 题 的 作业 。
14,医生 表扬 着 帮助 老人 。,医生 表扬 着 帮助 老人 的 孩子 。
15,她 介绍 着 生产 电视 。,她 介绍 着 生产 电视 的 工厂 。
16,我 洗 着 陪伴 过 母亲 。,我 洗 着 陪伴 过 母亲 的 衣服 。
17,店长 拿 着 能 打开 大门 。,店长 拿 着 能 打开 大门 的 钥匙 。
18,有人 听 着 打扰 了 邻居 。,有人 听 着 打扰 了 邻居 的 音乐 。
19,我 观察 着 有 商店 。,我 观察 着 有 商店 的 街道 。
20,学生 们 读 着 会 讲 故事 。,学生 们 读 着 会 讲 故事 的 书 。
21,他 放 着 飞翔 在 蓝天 。,他 放 着 飞翔 在 蓝天 的 风筝 。
22,老师 创办 过 教 英语 。,老师 创办 过 教 英语 的 学校 。
23,我 喜欢 过 给 我 信心 。,我 喜欢 过 给 我 信心 的 音乐 。
24,她 开 过 容纳 很多 人 。,她 开 过 容纳 很多 人 的 车 。
25,他 修理 过 丢失 了 芯片 。,他 修理 过 丢失 了 芯片 的 电脑 。
26,他 讲 过 有关 蛋糕 。,他 讲 过 有关 蛋糕 的 课 。
27,我 邀请 过 喜欢 游泳 。,我 邀请 过 喜欢 游泳 的 朋友 。
28,她 申请 过 减轻 她 负担 。,她 申请 过 减轻 她 负担 的 奖金 。
29,她 去 买 代表 好运 。,她 去 买 代表 好运 的 礼物 。
30,这 是 会 发出 声音 。,这 是 会 发出 声音 的 玩具 。
31,弟弟 需要 用于 游戏 。,弟弟 需要 用于 游戏 的 钱 。
32,他 很 欣赏 有 风格 。,他 很 欣赏 有 风格 的 作家 。
33,那里 有 吸引 人 。,那里 有 吸引 人 的 表演 。
34,我 经常 去 提供 服务 。,我 经常 去 提供 服务 的 医院 。
