good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id
The dancer suffers.,The dancers suffers.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,719,1
The alumni forget the Lutherans.,The alumnus forget the Lutherans.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,899,2
Some dancers that were leaving Scott need to return to Gregory.,Some dancers that were leaving Scott needs to return to Gregory.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,756,3
That school that has bothered a lot of girls talks about some boy.,That school that has bothered a lot of girls talk about some boy.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,327,4
Heidi is approaching Timothy.,Heidi were approaching Timothy.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,359,5
The feet tip over.,The foot tip over.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,863,6
The child is breaking most plates.,The children is breaking most plates.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,8,7
Some child has wept.,Some child have wept.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,335,8
Those syntheses alarm Naomi.,Those syntheses alarms Naomi.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,917,9
A print of many eyes does vanish.,A print of many eyes do vanish.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,856,10
The association that hasn't disgusted these dancers forgets Julia.,The association that hasn't disgusted these dancers forget Julia.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,138,11
The patient messes up these hospitals.,The patients messes up these hospitals.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,562,12
Many students who don't listen to this lady don't irritate Carrie.,Many students who don't listen to this lady doesn't irritate Carrie.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,75,13
Bethany cares for Alicia.,Bethany care for Alicia.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,354,14
A teacher that shouldn't hurt ladies concurs.,A teacher that shouldn't hurt ladies concur.,morphology,subject_verb_agreement,distractor_agreement_relative_clause,554,15
Janet discovers Lissa.,Janet discover Lissa.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,599,16
The man hasn't insulted Valerie.,The man haven't insulted Valerie.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,428,17
The woman was working with Naomi.,The women was working with Naomi.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,916,18
Many guests describe Amanda.,Many guests describes Amanda.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,498,19
Alicia hasn't ascended many mountains.,Alicia haven't ascended many mountains.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,124,20
All ellipses weren't worrying all teachers.,All ellipses wasn't worrying all teachers.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,371,21
A report about current events hasn't bored Heidi.,A report about current events haven't bored Heidi.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,567,22
Lawrence hasn't walked through the bank.,Lawrence haven't walked through the bank.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,165,23
Some glove wasn't irritating some teenager.,Some glove aren't irritating some teenager.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,512,24
The government isn't arguing about Heidi.,The government aren't arguing about Heidi.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,86,25
All radii haven't shocked Katherine.,All radii hasn't shocked Katherine.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,169,26
Teresa likes Alan.,Teresa like Alan.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,713,27
Every child has studied.,Every child have studied.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,562,28
The men weren't profiting.,The man weren't profiting.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,263,29
Some child hasn't bored April.,Some child haven't bored April.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,651,30
The Clintons boast about these hypotheses.,The Clintons boast about these hypothesis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,110,31
That person wasn't stunning those adults.,That person wasn't stunning that adults.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,119,32
Many dancers disagree with these displeased dancers.,Many dancers disagree with this displeased dancers.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,688,33
All guys could bore this unemployed dancer.,All guys could bore these unemployed dancer.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,624,34
Jerry wasn't fixing that gray cup.,Jerry wasn't fixing those gray cup.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,314,35
This rug worries that child.,This rug worries those child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,946,36
Literature bores that person.,Literature bores that people.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,350,37
Jennifer concealed those cups.,Jennifer concealed those cup.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,8,38
The Clintons toured that red high school.,The Clintons toured those red high school.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,981,39
Christina should drive to that museum.,Christina should drive to that museums.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,192,40
April thought about these bases.,April thought about these basis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,569,41
Many vases hadn't distracted these doctors.,Many vases hadn't distracted this doctors.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,891,42
Judy broke that couch.,Judy broke those couch.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,964,43
Most girls passed those smooth high schools.,Most girls passed those smooth high school.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,217,44
Nicole is cleaning those green couches.,Nicole is cleaning that green couches.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,980,45
Many customers talk about that delighted child.,Many customers talk about those delighted child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,157,46
That painting is looking like this delighted boy.,That painting is looking like this delighted boys.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,894,47
The gates haven't bothered these exposed waiters.,The gates haven't bothered this exposed waiters.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,482,48
These women see these concealed libraries.,These women see this concealed libraries.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,545,49
Brenda researches those bases.,Brenda researches those basis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,889,50
Every lady drops by these oases.,Every lady drops by this oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,579,51
Julia kisses that person.,Julia kisses those person.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,775,52
Melissa observes that bad child.,Melissa observes those bad child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,544,53
Russell thinks about those hypotheses.,Russell thinks about those hypothesis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,994,54
Every commentary bothers these purple schools.,Every commentary bothers this purple schools.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,229,55
Cindy could praise these men.,Cindy could praise this men.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,580,56
Anna walks through these purple oases.,Anna walks through this purple oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,3,57
The Impressionists were fixing those gray teeth.,The Impressionists were fixing those gray tooth.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,728,58
All boys fire this woman.,All boys fire these woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,740,59
Some governments hadn't taken this hospital.,Some governments hadn't taken these hospital.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,803,60
Lisa will imagine Vincent knows himself.,Vincent will imagine Lisa knows himself.,syntax_semantics,binding,principle_A_domain_3,608,61
Alicia was saying that she did scare Larry.,Alicia was saying that herself did scare Larry.,syntax_semantics,binding,principle_A_case_1,492,62
An actress who hasn't discussed a lot of cashiers was concealing herself.,An actress who hasn't discussed a lot of cashiers was concealing themselves.,syntax_semantics,binding,principle_A_c_command,452,63
Most women who aren't praising Regina will sound like themselves.,Most women who aren't praising Regina will sound like herself.,syntax_semantics,binding,principle_A_c_command,566,64
Jeffrey was saying that he worried Kirsten.,Jeffrey was saying that himself worried Kirsten.,syntax_semantics,binding,principle_A_case_1,784,65
This dancer who hadn't known Aaron hadn't appreciated herself.,This dancer who hadn't known Aaron hadn't appreciated himself.,syntax_semantics,binding,principle_A_c_command,847,66
Gary thinks about himself looking like paintings.,Gary thinks about himself looks like paintings.,syntax/semantics,binding,principle_A_case_2,304,67
Every dancer can't say some committee loves itself.,Every dancer can't say some committee loves herself.,syntax_semantics,binding,principle_A_domain_2,786,68
It's herself that Patricia investigates.,It's herself that investigates Patricia.,syntax_semantics,binding,principle_A_reconstruction,414,69
That bank that wouldn't resemble those sketches is talking to itself.,That bank that wouldn't resemble those sketches is talking to themselves.,syntax_semantics,binding,principle_A_c_command,809,70
Guy thought about himself alarming Theodore.,Guy thought about himself alarmed Theodore.,syntax/semantics,binding,principle_A_case_2,748,71
Karen forgets about herself bringing a print.,Karen forgets about herself brought a print.,syntax/semantics,binding,principle_A_case_2,412,72
Sherry thought about herself questioning every adult.,Sherry thought about herself questions every adult.,syntax/semantics,binding,principle_A_case_2,283,73
David hadn't thought about himself fleeing from every guest.,David hadn't thought about himself fled from every guest.,syntax/semantics,binding,principle_A_case_2,854,74
Katherine wasn't thinking that schools hadn't loved her.,Katherine wasn't thinking that schools hadn't loved herself.,syntax_semantics,binding,principle_A_domain_1,760,75
The children were saying Matt insulted himself.,The children were saying Matt insulted themselves.,syntax_semantics,binding,principle_A_domain_2,750,76
Dawn hasn't said Robert hadn't watched himself.,Dawn hasn't said Robert hadn't watched herself.,syntax_semantics,binding,principle_A_domain_2,878,77
Stephanie hasn't said James reveals himself.,Stephanie hasn't said James reveals herself.,syntax_semantics,binding,principle_A_domain_2,110,78
Anne imagines Carlos helps himself.,Carlos imagines Anne helps himself.,syntax_semantics,binding,principle_A_domain_3,182,79
Kathleen thinks Andrew discusses himself.,Andrew thinks Kathleen discusses himself.,syntax_semantics,binding,principle_A_domain_3,390,80
Jacqueline doesn't say that this commentary disturbs her.,Jacqueline doesn't say that this commentary disturbs herself.,syntax_semantics,binding,principle_A_domain_1,166,81
It's herself that Rhonda had thought about.,It's herself that had thought about Rhonda.,syntax_semantics,binding,principle_A_reconstruction,325,82
It's himself that Steve discussed.,It's himself that discussed Steve.,syntax_semantics,binding,principle_A_reconstruction,871,83
It's itself that every book hasn't disagreed with.,It's itself that hasn't disagreed with every book.,syntax_semantics,binding,principle_A_reconstruction,348,84
It's itself that that pork would stun.,It's itself that would stun that pork.,syntax_semantics,binding,principle_A_reconstruction,11,85
Deborah imagines herself confusing that association.,Deborah imagines herself confused that association.,syntax/semantics,binding,principle_A_case_2,974,86
This screen that is disgusting Helen did bore itself.,This screen that is disgusting Helen did bore herself.,syntax_semantics,binding,principle_A_c_command,493,87
These guests explain that Timothy approached them.,These guests explain that Timothy approached themselves.,syntax_semantics,binding,principle_A_domain_1,852,88
Derek didn't imagine that Heidi is attacking him.,Derek didn't imagine that Heidi is attacking himself.,syntax_semantics,binding,principle_A_domain_1,274,89
Steve had imagined that he flees from Ronald.,Steve had imagined that himself flees from Ronald.,syntax_semantics,binding,principle_A_case_1,165,90
Heather wouldn't know a guy that Mary hasn't concealed.,Heather wouldn't know who Mary hasn't concealed a guy.,syntax,filler_gap_dependency,wh_questions_object_gap,608,91
Many teenagers forgot that waiter that Andrew admires that has resembled those sketches.,Many teenagers forgot what that waiter that Andrew admires has resembled those sketches.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,492,92
Alice conceals what the teenager that couldn't scan some newspaper articles couldn't walk through.,Alice conceals that the teenager that couldn't scan some newspaper articles couldn't walk through.,syntax,filler_gap_dependency,wh_vs_that_with_gap_long_distance,452,93
The Borgias figure out what that pedestrian that comes here goes to.,The Borgias figure out that that pedestrian that comes here goes to.,syntax,filler_gap_dependency,wh_vs_that_with_gap_long_distance,566,94
Carmen isn't researching those newspaper articles that April isn't arguing about that haven't aggravated these girls.,Carmen isn't researching who those newspaper articles that April isn't arguing about haven't aggravated these girls.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,784,95
Valerie figured out who a lot of dancers that are flirting reveal.,Valerie figured out that a lot of dancers that are flirting reveal.,syntax,filler_gap_dependency,wh_vs_that_with_gap_long_distance,847,96
