ID,Grammatical_1,Ungrammatical_1,Grammatical_2,Ungrammatical_2,Notes
1,我很喜欢一位明星。,我很喜欢一首明星。,我很喜欢一首歌。,我很喜欢一位歌。,
2,她开车去了一家饭店。,她开车去了一座饭店。,她开车去了一座山。,她开车去了一家山。,
3,他有一双手套。,他有一枚手套。,他有一枚纽扣。,他有一双纽扣。,
4,店长拿着一只兔子。,店长拿着一根兔子。,店长拿着一根胡萝卜。,店长拿着一只胡萝卜。,
5,他在看一位老师。,他在看一部老师。,他在看一部手机。,他在看一位手机。,
6,他认识了一名男孩。,他认识了一本男孩。,他认识了一本书。,他认识了一名书。,
7,有个男人在扫描一篇文章。,有个男人在扫描一张文章。,有个男人在扫描一张图片。,有个男人在扫描一篇图片。,
8,女演员在看一张照片。,女演员在看一位照片。,女演员在看一位老师。,女演员在看一张老师。,
9,他在修理一辆汽车。,他在修理一套汽车。,他在修理一套音响系统。,他在修理一辆音响系统。,
10,学生们在写一部电影。,学生们在写一首电影。,学生们在写一首主题曲。,学生们在写一部主题曲。,
11,我们在看一场表演。,我们在看一块表演。,我们在看一块场地。,我们在看一场场地。,
12,他最喜欢一道菜。,他最喜欢一瓶菜。,他最喜欢一瓶调料。,他最喜欢一道调料。,
13,这是一架飞机。,这是一位飞机。,这是一位机长。,这是一架机长。,
14,学生们在写一部戏剧。,学生们在写一篇戏剧。,学生们在写一篇读后感。,学生们在写一部读后感。,
15,这是一辆火车。,这是一辆火车。,这是一扇窗户。,这是一辆窗户。,
16,老师在责备三名学生。,老师在责备三只学生。,老师在责备三只宠物。,老师在责备三名宠物。,
17,她买过两杯咖啡。,她买过两个咖啡。,她买过两个杯子。,她买过两杯杯子。,
18,孩子在卖五台桌子。,孩子在卖五块桌子。,孩子在卖五块布。,孩子在卖五台布。,
19,妈妈在做一张纸。,妈妈在做一个纸。,妈妈在做一个图案。,妈妈在做一张图案。,
20,爸爸买了一栋房子。,爸爸买了一条房子。,爸爸买了一条沙发。,爸爸买了一栋沙发。,
21,我想种一朵玫瑰。,我想种一颗玫瑰。,我想种一颗种子。,我想种一朵种子。,
22,弟弟想起了一位警官。,弟弟想起了一间警官。,弟弟想起了一间办公室。,弟弟想起了一位办公室。,
23,这是一家商店。,这是一扇商店。,这是一扇大门。,这是一家卖大门。,
24,我拜访了这一所高中。,我拜访了这一位高中。,我拜访了这一位老师。,我拜访了这一所老师。,
25,他在读一条评论。,他在读一首评论。,他在读一首诗。,他在读一条诗。,
26,她从来没见过一头牛。,她从来没见过一双牛。,她从来没见过一双眼睛。,她从来没见过一头眼睛。,
27,我还没有检查一份作业。,我还没有检查一行作业。,我还没有检查一行公式。,我还没有检查一份公式。,
28,爷爷想起了一场战争。,爷爷想起了一名战争。,爷爷想起了一名士兵。,爷爷想起了一场士兵。,
29,护士做了一次检查。,护士做了一篇检查。,护士做了一篇报告。,护士做了一次报告。,
30,这里是两台电视机。,这里是两份电视机。,这里是两份订单。,这里是两台订单。,
31,我记得一棵小树。,我记得一片小树。,我记得一片叶子。,我记得一棵叶子。,
32,他很欣赏一个组织。,他很欣赏一位组织。,他很欣赏一位领导人。,他很欣赏一个领导人。,
33,那里有一支舰队。,那里有一艘舰队。,那里有一艘船。,那里有一支船。,
34,他拍下了一只老虎。,他拍下了一颗老虎。,他拍下了一颗牙齿。,他拍下了一只牙齿。,
35,她提到了一座城堡。,她提到了一面古城堡。,她提到了一面墙。,她提到了一座墙。,
36,她拿了一份饭。,她拿了一卷饭。,她拿了一卷手纸。,她拿了一份手纸。,
37,我经常去一家医院。,我经常去一座医院。,我经常去一座桥。,我经常去一家桥。,
38,奶奶会去拜访两位朋友。,奶奶会去拜访两处朋友。,奶奶会去拜访两处古迹。,奶奶会去拜访两位古迹。,
39,他买了一道沙拉。,他买了一处沙拉。,他买了一处仓库。,他买了一道仓库。,
40,孩子听到了一首歌谣。,孩子听到了一张歌谣。,孩子听到了一张专辑。,孩子听到了一首专辑。,
