ID,Grammatical_1,Ungrammatical_1,Grammatical_2,Ungrammatical_2,Notes,Extension_1,Extension_2
1,我很喜欢一位朋友提到的明星。,我很喜欢一首朋友提到的明星。,我很喜欢一首朋友提到的歌。,我很喜欢一位朋友提到的歌。,的歌,我很喜欢一首朋友提到的明星的歌。,我很喜欢一位朋友提到的明星的歌。
2,她开车去了一家我推荐过的饭店。,她开车去了一座我推荐过的饭店。,她开车去了一座我推荐过的山。,她开车去了一家我推荐过的山。,旁边的山,她开车去了一座我推荐过的饭店旁边的山。,她开车去了一家我推荐过的饭店旁边的山。
3,他有一双我穿坏了的手套。,他有一枚我穿坏了的手套。,他有一枚我穿坏了的纽扣。,他有一双我穿坏了的纽扣。,的纽扣,他有一枚我穿坏了的手套的纽扣。,他有一双我穿坏了的手套的纽扣。
4,店长拿着一只他买的兔子。,店长拿着一根他买的兔子。,店长拿着一根他买的胡萝卜。,店长拿着一只他买的胡萝卜。,的胡萝卜,店长拿着一根他买的兔子的胡萝卜。,店长拿着一只他买的兔子的胡萝卜。
5,他在看一位记者见过的老师。,他在看一部记者见过的老师。,他在看一部记者见过的手机。,他在看一位记者见过的手机。,的手机,他在看一部记者见过的老师的手机。,他在看一位记者见过的老师的手机。
6,他认识了一名老师帮助过的男孩。,他认识了一本老师帮助过的男孩。,他认识了一本老师写过的书。,他认识了一名老师写过的书。,的书,他认识了一本老师帮助过的男孩的书。,他认识了一名老师帮助过的男孩的书。
7,有个男人在扫描一篇今早我发的文章。,有个男人在扫描一张今早我发的文章。,有个男人在扫描一张今早我发的图片。,有个男人在扫描一篇今早我发的图片。,里的图片,有个男人在扫描一张今早我写的文章里的图片。,有个男人在扫描一篇今早我写的文章里的图片。
8,女演员在看一张她以前拍的照片。,女演员在看一位她以前拍的旧照片。,女演员在看一位她以前拍的老师。,女演员在看一张她以前拍的老师。,里的老师,女演员在看一位她刚刚拍的照片里的老师。,女演员在看一张她刚刚拍的照片里的老师。
9,他在修理一辆我使用过的汽车。,他在修理一套我使用过的汽车。,他在修理一套我使用过的音响系统。,他在修理一辆我使用过的音响系统。,的音响系统。,他在修理一套我开过的汽车的音响系统。,他在修理一辆我开过的汽车的音响系统。
10,学生们在写一部他要拍的电影。,学生们在写一首他要拍的电影。,学生们在写一首他要录的主题曲。,学生们在写一部他要录的主题曲。,的主题曲,学生们在写一首他要拍的电影的主题曲。,学生们在写一部他要拍的电影的主题曲。
11,我们在看一场很多人看的表演。,我们在看一块很多人看的表演。,我们在看一块很多人看的场地。,我们在看一场很多人看的场地。,的场地,我们在看一块很多人看的表演的场地。,我们在看一场很多人看的表演的场地。
12,他最喜欢一道妈妈做的菜。,他最喜欢一瓶妈妈做的菜。,他最喜欢一瓶妈妈做的调料。,他最喜欢一道妈妈做的调料。,里的调料,他最喜欢一瓶妈妈做的菜里的调料。,他最喜欢一道妈妈做的菜里的调料。
13,这是一架他开过的飞机。,这是一位他开过的飞机。,这是一位他聊过的机长。,这是一架他聊过的机长。,的机长,这是一位他开过的飞机的机长。,这是一架他开过的飞机的机长。
14,学生们在读一部老师写的戏剧。,学生们在读一篇老师写的戏剧。,学生们在读一篇老师写的读后感。,学生们在读一部老师写的读后感。,的读后感,学生们在读一篇令老师写的戏剧的读后感。,学生们在读一部老师写的戏剧的读后感。
15,这是一辆她停下来的火车。,这是一扇她停下来的火车。,这是一扇她打开了的窗户。,这是一辆她打开了的窗户。,的窗户,这是一扇她停下来的火车的窗户。,这是一辆她停下来的火车的窗户。
16,老师在责备三名他责备过的学生。,老师在责备三只他责备过的学生。,老师在责备三只他责备过的宠物。,老师在责备三名他责备过的宠物。,的宠物,老师在责备三只他责备过的学生的宠物。,老师在责备三名他责备过的学生的宠物。
17,她买过两杯我想要的咖啡。,她买过两个我想要的咖啡。,她买过两个我想要的杯子。,她买过两杯我想要的杯子。,的杯子,她买过两个我想要的咖啡的杯子。,她买过两杯我想要的咖啡的杯子。
18,孩子在卖五台他买的桌子。,孩子在卖五块他买的桌子。,孩子在卖五块他买的布。,孩子在卖五台他买的布。,的布,孩子在卖五块他买的桌子上的布。,孩子在卖五台他买的桌子上的布。
19,妈妈在做一张我正在拿的纸。,妈妈在做一个我正在拿的纸。,妈妈在做一个我正在用的图案。,妈妈在做一张我正在用的图案。,上的图案,妈妈在做一个我正在拿的纸上的图案。,妈妈在做一张我正在拿的纸上的图案。
20,爸爸买了一栋他听说过的房子。,爸爸买了一条他听说过的房子。,爸爸买了一条他听说过的沙发。,爸爸买了一栋他听说过的沙发。,的沙发,爸爸买了一条他去过的房子里的沙发。,爸爸买了一栋他去过的房子里的沙发。
21,我想种一朵她研究过的玫瑰。,我想种一颗她研究过的玫瑰。,我想种一颗她研究过的种子。,我想种一朵她研究过的种子。,的种子,我想种一颗她研究过的玫瑰的种子。,我想种一朵她研究过的玫瑰的种子。
22,弟弟想起了一位他称赞过的警官。,弟弟想起了一间他称赞过的警官。,弟弟想起了一间他称赞过的警官。,弟弟想起了一位他称赞过的警官。,的办公室,弟弟想起了一间他称赞过的警官的办公室。,弟弟想起了一位他称赞过的警官的办公室。
23,这是一家朋友想去的商店。,这是一扇朋友想去的商店。,这是一扇朋友想去的大门。,这是一家朋友想去的大门。,的大门,这是一扇朋友想去的商店的大门。,这是一家朋友想去的商店的大门。
24,我拜访了这一所我怀念的高中。,我拜访了这一位我怀念的高中。,我拜访了这一位我怀念的老师。,我拜访了这一所我怀念的老师。,的老师,我拜访了这一位我怀念的老师。,我拜访了这一所我怀念的高中的老师。
25,他在读一条网友写的评论。,他在读一首网友写的评论。,他在读一首网友写的诗。,他在读一条网友写的诗。,的诗,他在读一首网友写的评论里的诗。,他在读一条网友写的评论里的诗。
26,她从来没见过一头他画的牛。,她从来没见过一双他画的牛。,她从来没见过一双他画的眼睛。,她从来没见过一头画的眼睛。,的眼睛,她从来没见过一双他养的牛的眼睛。,她从来没见过一头他养的牛的眼睛。
27,我还没有检查一份他刚刚在看的作业。,我还没有检查一行他刚刚在看的作业。,我还没有检查一行他刚刚在看的公式。,我还没有检查一份他刚刚在看的公式。,的公式,我还没有检查一行他刚刚在看的作业里的公式。,我还没有检查一份他刚刚在看的作业里的公式。
28,爷爷想起了一场他参与过的战争。,爷爷想起了一名他参与过的战争。,爷爷想起了一名他教过的士兵。,爷爷想起了一场他教过的士兵。,的士兵,爷爷想起了一名他参与过的战争中的士兵。,爷爷想起了一场他参与过的战争中的士兵。
