ID,Grammatical_1,Ungrammatical_1,Grammatical_2,Ungrammatical_2
1,我 很 喜欢 一 位 国内 的 明星 。,我 很 喜欢 一 首 国内 的 明星 。,我 很 喜欢 一 首 国内 的 歌曲 。,我 很 喜欢 一 位 国内 的 歌曲 。
2,她 开车 去 了 一 家 郊外 的 店 。,她 开车 去 了 一 座 郊外 的 店 。,她 开车 去 了 一 座 郊外 的 山 。,她 开车 去 了 一 家 郊外 的 山 。
3,他 有 一 双 蓝色 的 手套 。,他 有 一 枚 蓝色 的 手套 。,他 有 一 枚 蓝色 的 纽扣 。,他 有 一 双 蓝色 的 纽扣 。
4,店长 拿 着 一 只 便宜 的 兔子 。,店长 拿 着 一 根 便宜 的 兔子 。,店长 拿 着 一 根 便宜 的 萝卜 。,店长 拿 着 一 只 便宜 的 萝卜 。
5,她 提到 了 一 座 巨大 的 城堡 。,她 提到 了 一 面 巨大 的 城堡 。,她 提到 了 一 面 巨大 的 城墙 。,她 提到 了 一 座 巨大 的 城墙 。
6,他 认识 了 一 名 幸运 的 男孩 。,他 认识 了 一 本 幸运 的 男孩 。,他 认识 了 一 本 幸运 的 小说 。,他 认识 了 一 名 幸运 的 小说 。
7,男人 在 扫描 一 篇 很 短 的 文章 。,男人 在 扫描 一 张 很 短 的 文章 。,男人 在 扫描 一 张 很 短 的 图片 。,男人 在 扫描 一 篇 很 短 的 图片 。
8,演员 在 看 一 张 干净 的 旧 照片 。,演员 在 看 一 位 干净 的 旧 照片 。,演员 在 看 一 位 干净 的 老师 。,演员 在 看 一 张 干净 的 老师 。
9,他 在 修理 一 辆 倒霉 的 汽车 。,他 在 修理 一 套 倒霉 的 汽车 。,他 在 修理 一 套 倒霉 的 系统 。,他 在 修理 一 辆 倒霉 的 系统 。
10,学生 们 在 写 一 部 精彩 的 电影 。,学生 们 在 写 一 首 精彩 的 电影 。,学生 们 在 写 一 首 精彩 的 戏曲 。,学生 们 在 写 一 部 精彩 的 戏曲 。
11,我们 在 看 一 场 神奇 的 他 的 表演 。,我们 在 看 一 块 神奇 的 他 的 表演 。,我们 在 看 一 块 神奇 的 他 的 场地 。,我们 在 看 一 场 神奇 的 他 的 场地 。
12,他 最 喜欢 一 道 美味 的 菜 。,他 最 喜欢 一 瓶 美味 的 菜 。,他 最 喜欢 一 瓶 美味 的 醋 。,他 最 喜欢 一 道 美味 的 醋 。
13,她 拿 了 一 份 今天 的 饭 。,她 拿 了 一 卷 今天 的 饭 。,她 拿 了 一 卷 今天 的 纸 。,她 拿 了 一 份 今天 的 纸 。
14,学生 们 在 写 一 部 复杂 的 戏剧 。,学生 们 在 写 一 篇 复杂 的 戏剧 。,学生 们 在 写 一 篇 复杂 的 文章 。,学生 们 在 写 一 部 复杂 的 文章 。
15,这 是 一 架 红色 的 火车 。,这 是 一 扇 红色 的 火车 。,这 是 一 扇 红色 的 窗户 。,这 是 一 架 红色 的 窗户 。
16,老师 在 责备 三 名 淘气 的 学生 。,老师 在 责备 三 只 淘气 的 学生 。,老师 在 责备 三 只 淘气 的 宠物 。,老师 在 责备 三 名 淘气 的 宠物 。
17,她 买 过 两 杯 热 的 咖啡 。,她 买 过 两 个 热 的 咖啡 。,她 买 过 两 个 热 的 杯子 。,她 买 过 两 杯 热 的 杯子 。
18,孩子 在 卖 五 台 限量 的 桌子 。,孩子 在 卖 五 块 限量 的 桌子 。,孩子 在 卖 五 块 限量 的 蛋糕 。,孩子 在 卖 五 台 限量 的 蛋糕 。
19,妈妈 在 做 一 张 好看 的 地图 。,妈妈 在 做 一 面 好看 的 地图 。,妈妈 在 做 一 面 好看 的 镜子 。,妈妈 在 做 一 张 好看 的 镜子 。
20,爸爸 买 了 一 栋 很大 的 房子 。,爸爸 买 了 一 条 很大 的 房子 。,爸爸 买 了 一 条 很大 的 沙发 。,爸爸 买 了 一 栋 很大 的 沙发 。
21,我 想 种 一 朵 红色 的 玫瑰 。,我 想 种 一 颗 红色 的 玫瑰 。,我 想 种 一 颗 红色 的 种子 。,我 想 种 一 朵 红色 的 种子 。
22,我 经常 去 一 家 有名 的 医院 。,我 经常 去 一 座 有名 的 医院 。,我 经常 去 一 座 有名 的 城市 。,我 经常 去 一 家 有名 的 城市 。
23,他 买 了 一 道 昂贵 的 五彩 的 沙拉 。,他 买 了 一 处 昂贵 的 五彩 的 沙拉 。,他 买 了 一 处 昂贵 的 五彩 的 仓库 。,他 买 了 一 道 昂贵 的 五彩 的 仓库 。
24,我 拜访 了 这 一 所 重要 的 美丽 的 高中 。,我 拜访 了 这 一 位 重要 的 美丽 的 高中 。,我 拜访 了 这 一 位 重要 的 美丽 的 老师 。,我 拜访 了 这 一 所 重要 的 美丽 的 老师 。
25,他 在 读 一 条 很 长 的 评论 。,他 在 读 一 首 很 长 的 评论 。,他 在 读 一 首 很 长 的 诗歌 。,他 在 读 一 条 很 长 的 诗歌 。
26,她 从来 没 见 过 一 头 黄色 的 老虎 。,她 从来 没 见 过 一 双 黄色 的 老虎 。,她 从来 没 见 过 一 双 黄色 的 眼睛 。,她 从来 没 见 过 一 头 黄色 的 眼睛 。
27,我 还 没有 检查 一 份 很 难 的 作业 。,我 还 没有 检查 一 行 很 难 的 作业 。,我 还 没有 检查 一 行 很 难 的 公式 。,我 还 没有 检查 一 份 很 难 的 公式 。
28,孩子 听到 了 一 首 熟悉 的 歌谣 。,孩子 听到 了 一 张 熟悉 的 歌谣 。,孩子 听到 了 一 张 熟悉 的 专辑 。,孩子 听到 了 一 首 熟悉 的 专辑 。
29,护士 做 了 一 次 必需 的 检查 。,护士 做 了 一 篇 必需 的 检查 。,护士 做 了 一 篇 必需 的 报告 。,护士 做 了 一 次 必需 的 报告 。
30,这里 是 两 台 最新 的 电视 。,这里 是 两 份 最新 的 电视 。,这里 是 两 份 最新 的 订单 。,这里 是 两 台 最新 的 订单 。
31,我 记得 一 棵 绿色 的 松树 。,我 记得 一 片 绿色 的 松树 。,我 记得 一 片 绿色 的 叶子 。,我 记得 一 棵 绿色 的 叶子 。
32,他 很 欣赏 一 处 环保 的 景点 。,他 很 欣赏 一 位 环保 的 景点 。,他 很 欣赏 一 位 环保 的 领导 。,他 很 欣赏 一 处 环保 的 领导 。
33,那里 有 一 支 海上 的 舰队 。,那里 有 一 艘 海上 的 舰队 。,那里 有 一 艘 海上 的 渔船 。,那里 有 一 支 海上 的 渔船 。
