ID,Grammatical_1,Ungrammatical_1,Grammatical_2,Ungrammatical_2
1,我 很 喜欢 一 位 唱歌 好听 的 明星 。,我 很 喜欢 一 首 唱歌 好听 的 明星 。,我 很 喜欢 一 首 令人 流泪 的 歌曲 。,我 很 喜欢 一 位 令人 流泪 的 歌曲 。
2,她 开车 去 了 一 家 受 大家 欢迎 的 店 。,她 开车 去 了 一 座 受 大家 欢迎 的 店 。,她 开车 去 了 一 座 受 大家 欢迎 的 山 。,她 开车 去 了 一 家 受 大家 欢迎 的 山 。
3,他 有 一 双 被 我 丢 了 的 手套 。,他 有 一 枚 被 我 丢 了 的 手套 。,他 有 一 枚 被 我 丢 了 的 纽扣 。,他 有 一 双 被 我 丢 了 的 纽扣 。
4,店长 拿 着 一 只 已经 成熟 了 的 兔子 。,店长 拿 着 一 根 已经 成熟 了 的 兔子 。,店长 拿 着 一 根 已经 成熟 了 的 萝卜 。,店长 拿 着 一 只 已经 成熟 了 的 萝卜 。
5,她 提到 了 一 座 刚 被 修好 的 城堡 。,她 提到 了 一 面 刚 被 修好 的 城堡 。,她 提到 了 一 面 刚 被 修好 的 城墙 。,她 提到 了 一 座 刚 被 修好 的 城墙 。
6,他 认识 了 一 名 会 讲 故事 的 男孩 。,他 认识 了 一 本 会 讲 故事 的 男孩 。,他 认识 了 一 本 会 讲 故事 的 小说 。,他 认识 了 一 名 会 讲 故事 的 小说 。
7,男人 在 扫描 一 篇 今早 登报 了 的 文章 。,男人 在 扫描 一 张 今早 登报 了 的 文章 。,男人 在 扫描 一 张 今早 登报 了 的 图片 。,男人 在 扫描 一 篇 今早 登报 了 的 图片 。
8,演员 在 看 一 张 唤起 她 回忆 的 旧 照片 。,演员 在 看 一 位 唤起 她 回忆 的 旧 照片 。,演员 在 看 一 位 唤起 她 回忆 的 老师 。,演员 在 看 一 张 唤起 她 回忆 的 老师 。
9,他 在 修理 一 辆 无法 启动 的 汽车 。,他 在 修理 一 套 无法 启动 的 汽车 。,他 在 修理 一 套 无法 启动 的 系统 。,他 在 修理 一 辆 无法 启动 的 系统 。
10,学生 们 在 写 一 部 长 一个 小时 的 电影 。,学生 们 在 写 一 首 长 一个 小时 的 电影 。,学生 们 在 写 一 首 长 一个 小时 的 戏曲 。,学生 们 在 写 一 部 长 一个 小时 的 戏曲 。
11,我们 在 看 一 场 吸引 了 很多 观众 的 表演 。,我们 在 看 一 块 吸引 了 很多 观众 的 表演 。,我们 在 看 一 块 吸引 了 很多 观众 的 场地 。,我们 在 看 一 场 吸引 了 很多 观众 的 场地 。
12,他 最 喜欢 一 道 让 人 想念 的 菜 。,他 最 喜欢 一 瓶 让 人 想念 的 菜 。,他 最 喜欢 一 瓶 让 人 想念 的 醋 。,他 最 喜欢 一 道 让 人 想念 的 醋 。
13,她 拿 了 一 份 被 提供 给 客人 的 饭 。,她 拿 了 一 卷 被 提供 给 客人 的 饭 。,她 拿 了 一 卷 被 提供 给 客人 的 纸 。,她 拿 了 一 份 被 提供 给 客人 的 纸 。
14,学生 们 在 写 一 部 令人 感动 的 戏剧 。,学生 们 在 写 一 篇 令人 感动 的 戏剧 。,学生 们 在 写 一 篇 令人 感动 的 文章 。,学生 们 在 写 一 部 令人 感动 的 文章 。
15,这 是 一 辆 有 历史 的 火车 。,这 是 一 扇 有 历史 的 火车 。,这 是 一 扇 有 历史 的 窗户 。,这 是 一 辆 有 历史 的 窗户 。
16,老师 在 责备 三 名 不 睡觉 的 学生 。,老师 在 责备 三 只 不 睡觉 的 学生 。,老师 在 责备 三 只 不 睡觉 的 宠物 。,老师 在 责备 三 名 不 睡觉 的 宠物 。
17,她 买 过 两 杯 正在 打折 的 咖啡 。,她 买 过 两 个 正在 打折 的 咖啡 。,她 买 过 两 个 正在 打折 的 杯子 。,她 买 过 两 杯 正在 打折 的 杯子 。
18,孩子 在 卖 五 台 有 花纹 的 桌子 。,孩子 在 卖 五 块 有 花纹 的 桌子 。,孩子 在 卖 五 块 有 花纹 的 蛋糕 。,孩子 在 卖 五 台 有 花纹 的 蛋糕 。
19,妈妈 在 做 一 张 代表 幸运 的 地图 。,妈妈 在 做 一 面 代表 幸运 的 地图 。,妈妈 在 做 一 面 代表 幸运 的 镜子 。,妈妈 在 做 一 张 代表 幸运 的 镜子 。
20,爸爸 买 了 一 栋 令人 满意 的 房子 。,爸爸 买 了 一 条 令人 满意 的 房子 。,爸爸 买 了 一 条 令人 满意 的 沙发 。,爸爸 买 了 一 栋 令人 满意 的 沙发 。
21,我 想 种 一 朵 能 开花 的 玫瑰 。,我 想 种 一 颗 能 开花 的 玫瑰 。,我 想 种 一 颗 能 开花 的 种子 。,我 想 种 一 朵 能 开花 的 种子 。
22,我 经常 去 一 家 有 雕塑 的 医院 。,我 经常 去 一 座 有 雕塑 的 医院 。,我 经常 去 一 座 有 雕塑 的 城市 。,我 经常 去 一 家 有 雕塑 的 城市 。
23,他 买 了 一 道 很多 水果 的 沙拉 。,他 买 了 一 处 有 很多 水果 的 沙拉 。,他 买 了 一 处 有 很多 水果 的 仓库 。,他 买 了 一 道 有 很多 水果 的 仓库 。
24,我 拜访 了 这 一 所 抚育 了 我 的 高中 。,我 拜访 了 这 一 位 抚育 了 我 的 高中 。,我 拜访 了 这 一 位 抚育 了 我 的 老师 。,我 拜访 了 这 一 所 抚育 了 我 的 老师 。
25,他 在 读 一 条 让 他 开心 的 评论 。,他 在 读 一 首 让 他 开心 的 评论 。,他 在 读 一 首 让 他 开心 的 诗歌 。,他 在 读 一 条 让 他 开心 的 诗歌 。
26,她 从来 没 见 过 一 头 受伤 了 的 老虎 。,她 从来 没 见 过 一 双 受伤 了 的 老虎 。,她 从来 没 见 过 一 双 受伤 了 的 眼睛 。,她 从来 没 见 过 一 头 受伤 了 的 眼睛 。
27,我 还 没有 检查 一 份 要 被 上交 的 作业 。,我 还 没有 检查 一 行 要 被 上交 的 作业 。,我 还 没有 检查 一 行 要 被 上交 的 公式 。,我 还 没有 检查 一 份 要 被 上交 的 公式 。
28,孩子 听到 了 一 首 令 他 熟悉 的 歌谣 。,孩子 听到 了 一 张 令 他 熟悉 的 歌谣 。,孩子 听到 了 一 张 令 他 熟悉 的 专辑 。,孩子 听到 了 一 首 令 他 熟悉 的 专辑 。
29,护士 做 了 一 次 需要 仪器 的 检查 。,护士 做 了 一 篇 需要 仪器 的 检查 。,护士 做 了 一 篇 需要 仪器 的 报告 。,护士 做 了 一 次 需要 仪器 的 报告 。
30,这里 是 两 台 刚 被 推出 的 电视 。,这里 是 两 份 刚 被 推出 的 电视 。,这里 是 两 份 刚 被 派发 的 订单 。,这里 是 两 台 刚 被 派发 的 订单 。
