ID,Ungrammatical,Grammatical
1,随着政府发展。,随着政府发展，经济变好了。
2,随着互联网的出现。,随着互联网的出现，生活质量提高了。
3,随着一阵响声。,随着一阵响声，火车开动了。
4,随着年龄增长。,随着年龄增长，他更有自信了。
5,随着冬天的到来。,随着冬天的到来，树木凋零了。
6,随着科技发展。,随着科技发展，电脑功能变得更多了。
7,自从见了他。,自从见了他，她一直在写信。
8,自从修了公路。,自从修了公路，农村经济变好了。
9,自从离开家乡。,自从离开家乡，她一直想念父母。
10,自从他开始读书。,自从他开始读书，他的成绩提高了。
11,自从他获得大奖。,自从他获得大奖，他不学习了。
12,自从她认识了老师。,自从她认识了老师，她努力训练。
13,自从她参与了活动。,自从她参与了活动，她认识了很多人。
14,自从她学习了外语。,自从她学习了外语，她看了很多电影。
15,因为喝了酒。,因为喝了酒，他摔了。
16,因为时间短。,因为时间短，他结束了谈话。
17,因为没有练习题目。,因为没有练习题目，他没有成功。
18,因为疾病。,因为疾病，她拒绝了演出。
19,因为听着音乐。,因为听着音乐，她错过了闹钟。
20,尽管天气冷。,尽管天气冷，工人还在工作。
21,尽管他年纪小。,尽管他年纪小，他有能力。
22,尽管她会开车。,尽管她会开车，她今天没有开车。
23,尽管题目难。,尽管题目难，学生做对了。
24,尽管作家很年轻。,尽管作家很年轻，他写了很多作品。
25,尽管经济不好。,尽管经济不好，他还是关心慈善。
26,如果天气好。,如果天气好，我们去爬山。
27,如果不努力。,如果不努力，就没有回报。
28,如果时间足够。,如果时间足够，我们可以完成。
29,如果我们照了相。,如果我们照了相，我们留下了回忆。
30,如果培养了信心。,如果培养了信心，她可以实现梦想。
31,如果他不尝试。,如果他不尝试，他将失去机会。
32,如果你来。,如果你来，我会准备水果。
