ID,Ungrammatical,Grammatical
1,随着 政府 发展 。,随着 政府 发展 ， 经济 变 好 了 。
2,随着 互联网 的 出现 。,随着 互联网 的 出现 ， 生活 质量 提高 了 。
3,随着 一阵 铃声 。,随着 一阵 铃声 ， 火车 开 了 。
4,随着 年龄 增长 。,随着 年龄 增长 ， 他 更 有 自信 了 。
5,随着 冬天 的 到来 。,随着 冬天 的 到来 ， 树木 凋零 了 。
6,随着 科技 发展 。,随着 科技 发展 ， 电脑 功能 变得 更 多 了 。
7,自从 见 了 他 。,自从 见 了 他 ， 她 一直 在 写信 。
8,自从 修 了 公路 。,自从 修 了 公路 ， 农村 经济 变 好 了 。
9,自从 离开 家乡 。,自从 离开 家乡 ， 她 一直 想念 父母 。
10,自从 他 开始 读书 。,自从 他 开始 读书 ， 他 的 成绩 提高 了 。
11,自从 他 获得 大奖 。,自从 他 获得 大奖 ， 他 不 学习 了 。
12,自从 她 认识 了 老师 。,自从 她 认识 了 老师 ， 她 努力 训练 。
13,自从 她 参与 了 活动 。,自从 她 参与 了 活动 ， 她 认识 了 很多 人 。
14,自从 她 学习 了 外语 。,自从 她 学习 了 外语 ， 她 看 了 很多 电影 。
15,因为 喝 了 酒 。,因为 喝 了 酒 ， 他 摔 了 。
16,因为 时间 短 。,因为 时间 短 ， 他 结束 了 谈话 。
17,因为 没有 练习 题目 。,因为 没有 练习 题目 ， 他 没有 成功 。
18,因为 疾病 。,因为 疾病 ， 她 拒绝 了 演出 。
19,因为 听 着 音乐 。,因为 听 着 音乐 ， 她 错过 了 广播 。
20,尽管 天气 冷 。,尽管 天气 冷 ， 工人 还 在 工作 。
21,尽管 他 年纪 小 。,尽管 他 年纪 小 ， 他 有 能力 。
22,尽管 她 会 开车 。,尽管 她 会 开车 ， 她 今天 没有 开车 。
23,尽管 题目 难 。,尽管 题目 难 ， 学生 做 对 了 。
24,尽管 作家 很 年轻 。,尽管 作家 很 年轻 ， 他 写 了 很多 作品 。
25,尽管 经济 不 好 。,尽管 经济 不 好 ， 他 还是 关心 慈善 。
26,如果 天气 好 。,如果 天气 好 ， 我们 去 公园 。
27,如果 不 努力 。,如果 不 努力 ， 就 没有 回报 。
28,如果 时间 足够 。,如果 时间 足够 ， 我们 可以 完成 。
29,如果 我们 照 了 相 。,如果 我们 照 了 相 ， 我们 留下 了 回忆 。
30,如果 培养 了 信心 。,如果 培养 了 信心 ， 她 可以 实现 梦想 。
31,如果 他 不 尝试 。,如果 他 不 尝试 ， 他 将 失去 机会 。
32,如果 你 来 。,如果 你 来 ， 我 会 准备 水果 。
