item_id,prefix,continuation,category,published_date_gmt,download_date
1,"NEXT Weather: 5 p.m. report -- NEXT Weather: 5 p.m. report We'll be heading back into the 40s on Friday, Meteorologist Chris Shaffer",says,Environment,2023-03-23 22:31:00,2023-03-24
2,"NEXT Weather: 4 p.m. weather report -- NEXT Weather: 4 p.m. weather report WCCO meteorologist Mike Augustyniak says that we've got an outside shot at a 50-degree day just before the month's end, but don't get too",excited,Environment,2023-03-23 21:21:00,2023-03-24
3,"NOAA still cautions potential for ""major"" spring flooding along Mississippi River -- MINNEAPOLIS -- National weather officials say flooding along the Mississippi River this spring could be the worst seen since",2001,Environment,2023-03-23 21:20:00,2023-03-24
4,NEXT Weather: Noon weather report -- NEXT Weather: Noon weather report WCCO meteorologist Joseph Dames says temperatures will peak in the the low to mid 30s for much of the state,Thursday,Environment,2023-03-23 17:18:00,2023-03-24
5,"Chicago had its 4th warmest winter in 70 years, and spring flowers are weeks ahead of schedule -- A cluster of crocus flowers blooms in the Lurie Garden at Millennium Park on March 22, 2023, in",Chicago,Environment,2023-03-23 16:12:13,2023-03-24
6,"NEXT Weather: 9 a.m. weather report -- NEXT Weather: 9 a.m. weather report WCCO meteorologist Riley O'Connor says temps will peak in the low to mid 30s for much of the state, with the Twin Cities reaching the upper",30s,Environment,2023-03-23 14:29:00,2023-03-24
7,"Storms Move Out But A New Weather System Could Hit SoCal Next Week -- Today, put a dollar value on the trustworthy reporting you rely on all year",long,Environment,2023-03-23 13:28:41,2023-03-24
8,"NEXT Weather: 6:30 a.m. report -- NEXT Weather: 6:30 a.m. report Thursday's temps will be below average, but we've got a weekend warmup on the",way,Environment,2023-03-23 11:58:00,2023-03-24
9,"NEXT Weather: 5 a.m. report -- NEXT Weather: 5 a.m. report Temperatures will be below average again on Thursday, but a slight warmup is coming in the next couple of",days,Environment,2023-03-23 10:25:00,2023-03-24
10,Next Weather: WBZ morning forecast for March 23 -- Lexie O’Connor has your latest weather,forecast,Environment,2023-03-23 09:27:00,2023-03-24
11,"ChatGPT is instructing a man on how to run a business with just a $100 budget -- A self-described AI soothsayer has turned ChatGPT into HustleGPT, an artificial intelligence that informs him on how to start a business with just",$100,Technology,2023-03-24 07:05:03,2023-03-24
12,"Journalist receives USB drive bomb that exploded when he plugged it in -- A journalist who received a USB in the mail plugged the drive into a computer at their newsroom, and it detonated, causing",injury,Technology,2023-03-24 06:34:03,2023-03-24
13,Utah's new social media law means children will need approval from parents -- Utah's new social media law means children will need approval from parents Enlarge this image toggle caption Trent Nelson/AP Trent Nelson/AP SALT LAKE CITY — Utah became the first state to enact laws limiting how children can use social media after Republican,Gov,Technology,2023-03-24 06:20:00,2023-03-24
14,NASA's Webb telescope spots first dust storm on planet outside the solar system -- The James Webb Space Telescope has been used to observe for the first time a dust storm occurring on a planet outside of our solar,system,Technology,2023-03-24 06:05:02,2023-03-24
15,"OpenAI CEO comments on ChatGPT bug that leaked user conversation histories -- The co-founder and CEO of OpenAI, the developers of the immensely popular ChatGPT, has commented on the recent bug that exposed user chat",histories,Technology,2023-03-24 05:33:02,2023-03-24
16,"Push at State Capitol to end subminimum wage for people with disabilities -- ST. PAUL, Minn. -- For decades, it's been legal to pay people with disabilities less than minimum wage, but there's momentum building to get rid of the",practice,Politics,2023-03-24 22:47:00,2023-03-25
17,"Minnesota House passes ""trans refuge"" legislation after late-night debate -- ST. PAUL, Minn. -- The Minnesota House early Friday morning approved a bill supporters say will make Minnesota a ""refuge"" for transgender",people,Politics,2023-03-24 21:31:00,2023-03-25
18,"Alexandria Ocasio-Cortez Slams Republicans Deeming Rosa Parks Book 'Too Woke' -- Rep. Alexandria Ocasio-Cortez (D-N.Y.) gave an impassioned speech on the House floor Thursday against the Parents Bill of Rights Act, which would require schools to publish their curricula and reading lists",online,Politics,2023-03-24 20:31:01,2023-03-25
19,"Disabled Wisconsin voters say absentee law not followed -- Disabled voters say local election leaders across Wisconsin are not following federal law during early voting in the high-stakes race for state Supreme Court, incorrectly telling them they can't have another person return their absentee ballot for",them,Politics,2023-03-24 20:26:38,2023-03-25
20,"India’s ruling party just kicked a major rival out of Parliament — and sparked a new crisis -- For years, Indian Prime Minister Narendra Modi has attacked the foundations of his country’s",democracy,Politics,2023-03-24 20:15:00,2023-03-25
