"Sentence","Plausibility","Score","ItemNum"
"The actor won the award.","Plausible",5.8,1
"The actor won the battle.","Implausible",2.6,1
"The anchorman told the news.","Plausible",6.75,2
"The anchorman told the parable.","Implausible",3,2
"The animal found the food.","Plausible",5.85,3
"The animal found the map.","Implausible",2,3
"The ant stacked the supply.","Plausible",4.4,4
"The ant stacked the suitcase.","Implausible",1.95,4
"The archeologist examined the epigraph.","Plausible",5.5,5
"The archeologist examined the dog.","Implausible",1.6,5
"The archer released the arrow.","Plausible",6.6,6
"The archer released the interview.","Implausible",2.5,6
"The artist assembled the art.","Plausible",6.35,7
"The artist assembled the tent.","Implausible",2,7
"The artist hung the picture.","Plausible",5.5,8
"The artist hung the motorcycle.","Implausible",1.95,8
"The assistant helped the cook.","Plausible",5.25,9
"The assistant helped the soldier.","Implausible",2.8,9
"The astronaut reached the moon.","Plausible",5.4,10
"The astronaut reached the baker.","Implausible",2.35,10
"The astronaut touched the ground.","Plausible",4.8,11
"The astronaut touched the guitar.","Implausible",2,11
"The athlete celebrated the victory.","Plausible",6.65,12
"The athlete celebrated the marriage.","Implausible",3.1,12
"The athlete started the match.","Plausible",4.15,13
"The athlete started the vacuum.","Implausible",3.45,13
"The athlete won the cup.","Plausible",5.15,14
"The athlete won the toy.","Implausible",3.15,14
"The author signed the book.","Plausible",6.15,15
"The author signed the check.","Implausible",3.4,15
"The baker gathered the bread.","Plausible",6.3,16
"The baker gathered the soldier.","Implausible",1,16
"The baker sold the bread.","Plausible",6.45,17
"The baker sold the stroller.","Implausible",2.05,17
"The bank assigned the code.","Plausible",6.15,18
"The bank assigned the book.","Implausible",2.1,18
"The barber cut the hair.","Plausible",6.65,19
"The barber cut the cake.","Implausible",2.1,19
"The barber used the razor.","Plausible",6.55,20
"The barber used the microscope.","Implausible",1.2,20
"The bartender handed the drink.","Plausible",6.55,21
"The bartender handed the lancet.","Implausible",1.4,21
"The bartender shook the drink.","Plausible",6.25,22
"The bartender shook the flag.","Implausible",2.05,22
"The beautician spread the cream.","Plausible",5.2,23
"The beautician spread the paint.","Implausible",2.9,23
"The biker started the motorcycle.","Plausible",6.15,24
"The biker started the lesson.","Implausible",3.4,24
"The biker wore the helmet.","Plausible",6.8,25
"The biker wore the swimsuit.","Implausible",2.1,25
"The billionaire donated the money.","Plausible",6.2,26
"The billionaire donated the book.","Implausible",4.15,26
"The binman collected the trash.","Plausible",5.35,27
"The binman collected the flower.","Implausible",3.05,27
"The biologist used the microscope.","Plausible",6.7,28
"The biologist used the razor.","Implausible",3.3,28
"The blacksmith poured the metal.","Plausible",6.5,29
"The blacksmith poured the wine.","Implausible",1.6,29
"The bodybuilder lifted the weight.","Plausible",6.45,30
"The bodybuilder lifted the flag.","Implausible",3.1,30
"The boss assigned the job.","Plausible",6.75,31
"The boss assigned the medal.","Implausible",3,31
"The boss promised the promotion.","Plausible",5.95,32
"The boss promised the heaven.","Implausible",2.25,32
"The botanist examined the plant.","Plausible",6.55,33
"The botanist examined the tire.","Implausible",3,33
"The boxer delivered the punch.","Plausible",6.15,34
"The boxer delivered the drink.","Implausible",2.2,34
"The breeder sold the dog.","Plausible",6.25,35
"The breeder sold the cigarette.","Implausible",1.9,35
"The burglar climbed the wall.","Plausible",6.05,36
"The burglar climbed the rock.","Implausible",2.75,36
"The businessman read the report.","Plausible",6.45,37
"The businessman read the fable.","Implausible",2.35,37
"The businessman tied the necktie.","Plausible",6.5,38
"The businessman tied the prisoner.","Implausible",1.45,38
"The businessman wore the tie.","Plausible",6.55,39
"The businessman wore the uniform.","Implausible",4.15,39
"The butcher carved the meat.","Plausible",5.75,40
"The butcher carved the stone.","Implausible",2.3,40
"The butcher cut the meat.","Plausible",6.75,41
"The butcher cut the tree.","Implausible",1.8,41
"The butcher sold the meat.","Plausible",6.95,42
"The butcher sold the weapon.","Implausible",1.6,42
"The butcher used the knife.","Plausible",6.35,43
"The butcher used the camera.","Implausible",2.05,43
"The cameraman recorded the video.","Plausible",6.85,44
"The cameraman recorded the sale.","Implausible",2.45,44
"The candidate celebrated the victory.","Plausible",5.9,45
"The candidate celebrated the holiday.","Implausible",5,45
"The carpenter fixed the chair.","Plausible",5.55,46
"The carpenter fixed the shoe.","Implausible",1.2,46
