good_sentence,bad_sentence,suite,suite_broad,wang2021_id,item_id
我 很 喜欢 一 位 国内 的 明星 。,我 很 喜欢 一 首 国内 的 明星 。,cls_adj,Classifier,1,1
我 很 喜欢 一 首 国内 的 歌曲 。,我 很 喜欢 一 位 国内 的 歌曲 。,cls_adj,Classifier,1,2
她 开车 去 了 一 家 郊外 的 店 。,她 开车 去 了 一 座 郊外 的 店 。,cls_adj,Classifier,2,3
她 开车 去 了 一 座 郊外 的 山 。,她 开车 去 了 一 家 郊外 的 山 。,cls_adj,Classifier,2,4
他 有 一 双 蓝色 的 手套 。,他 有 一 枚 蓝色 的 手套 。,cls_adj,Classifier,3,5
他 有 一 枚 蓝色 的 纽扣 。,他 有 一 双 蓝色 的 纽扣 。,cls_adj,Classifier,3,6
店长 拿 着 一 只 便宜 的 兔子 。,店长 拿 着 一 根 便宜 的 兔子 。,cls_adj,Classifier,4,7
店长 拿 着 一 根 便宜 的 萝卜 。,店长 拿 着 一 只 便宜 的 萝卜 。,cls_adj,Classifier,4,8
她 提到 了 一 座 巨大 的 城堡 。,她 提到 了 一 面 巨大 的 城堡 。,cls_adj,Classifier,5,9
她 提到 了 一 面 巨大 的 城墙 。,她 提到 了 一 座 巨大 的 城墙 。,cls_adj,Classifier,5,10
他 认识 了 一 名 幸运 的 男孩 。,他 认识 了 一 本 幸运 的 男孩 。,cls_adj,Classifier,6,11
他 认识 了 一 本 幸运 的 小说 。,他 认识 了 一 名 幸运 的 小说 。,cls_adj,Classifier,6,12
男人 在 扫描 一 篇 很 短 的 文章 。,男人 在 扫描 一 张 很 短 的 文章 。,cls_adj,Classifier,7,13
男人 在 扫描 一 张 很 短 的 图片 。,男人 在 扫描 一 篇 很 短 的 图片 。,cls_adj,Classifier,7,14
演员 在 看 一 张 干净 的 旧 照片 。,演员 在 看 一 位 干净 的 旧 照片 。,cls_adj,Classifier,8,15
演员 在 看 一 位 干净 的 老师 。,演员 在 看 一 张 干净 的 老师 。,cls_adj,Classifier,8,16
他 在 修理 一 辆 倒霉 的 汽车 。,他 在 修理 一 套 倒霉 的 汽车 。,cls_adj,Classifier,9,17
他 在 修理 一 套 倒霉 的 系统 。,他 在 修理 一 辆 倒霉 的 系统 。,cls_adj,Classifier,9,18
学生 们 在 写 一 部 精彩 的 电影 。,学生 们 在 写 一 首 精彩 的 电影 。,cls_adj,Classifier,10,19
学生 们 在 写 一 首 精彩 的 戏曲 。,学生 们 在 写 一 部 精彩 的 戏曲 。,cls_adj,Classifier,10,20
我们 在 看 一 场 神奇 的 他 的 表演 。,我们 在 看 一 块 神奇 的 他 的 表演 。,cls_adj,Classifier,11,21
我们 在 看 一 块 神奇 的 他 的 场地 。,我们 在 看 一 场 神奇 的 他 的 场地 。,cls_adj,Classifier,11,22
他 最 喜欢 一 道 美味 的 菜 。,他 最 喜欢 一 瓶 美味 的 菜 。,cls_adj,Classifier,12,23
他 最 喜欢 一 瓶 美味 的 醋 。,他 最 喜欢 一 道 美味 的 醋 。,cls_adj,Classifier,12,24
她 拿 了 一 份 今天 的 饭 。,她 拿 了 一 卷 今天 的 饭 。,cls_adj,Classifier,13,25
她 拿 了 一 卷 今天 的 纸 。,她 拿 了 一 份 今天 的 纸 。,cls_adj,Classifier,13,26
学生 们 在 写 一 部 复杂 的 戏剧 。,学生 们 在 写 一 篇 复杂 的 戏剧 。,cls_adj,Classifier,14,27
学生 们 在 写 一 篇 复杂 的 文章 。,学生 们 在 写 一 部 复杂 的 文章 。,cls_adj,Classifier,14,28
这 是 一 架 红色 的 火车 。,这 是 一 扇 红色 的 火车 。,cls_adj,Classifier,15,29
这 是 一 扇 红色 的 窗户 。,这 是 一 架 红色 的 窗户 。,cls_adj,Classifier,15,30
老师 在 责备 三 名 淘气 的 学生 。,老师 在 责备 三 只 淘气 的 学生 。,cls_adj,Classifier,16,31
老师 在 责备 三 只 淘气 的 宠物 。,老师 在 责备 三 名 淘气 的 宠物 。,cls_adj,Classifier,16,32
她 买 过 两 杯 热 的 咖啡 。,她 买 过 两 个 热 的 咖啡 。,cls_adj,Classifier,17,33
她 买 过 两 个 热 的 杯子 。,她 买 过 两 杯 热 的 杯子 。,cls_adj,Classifier,17,34
孩子 在 卖 五 台 限量 的 桌子 。,孩子 在 卖 五 块 限量 的 桌子 。,cls_adj,Classifier,18,35
孩子 在 卖 五 块 限量 的 蛋糕 。,孩子 在 卖 五 台 限量 的 蛋糕 。,cls_adj,Classifier,18,36
妈妈 在 做 一 张 好看 的 地图 。,妈妈 在 做 一 面 好看 的 地图 。,cls_adj,Classifier,19,37
妈妈 在 做 一 面 好看 的 镜子 。,妈妈 在 做 一 张 好看 的 镜子 。,cls_adj,Classifier,19,38
爸爸 买 了 一 栋 很大 的 房子 。,爸爸 买 了 一 条 很大 的 房子 。,cls_adj,Classifier,20,39
爸爸 买 了 一 条 很大 的 沙发 。,爸爸 买 了 一 栋 很大 的 沙发 。,cls_adj,Classifier,20,40
我 想 种 一 朵 红色 的 玫瑰 。,我 想 种 一 颗 红色 的 玫瑰 。,cls_adj,Classifier,21,41
