good_sentence,bad_sentence,suite,good_cond,bad_cond,syntaxgym_id,item_id
The window that the boy wiped shattered.,The window that the boy shattered wiped.,center_embed,plaus,implaus,27,1
The bones that the doctor examined broke.,The bones that the doctor broke examined.,center_embed,plaus,implaus,14,2
The shirt that the man bought ripped.,The shirt that the man ripped bought.,center_embed,plaus,implaus,11,3
The bomb that the terrorist built exploded.,The bomb that the terrorist exploded built.,center_embed,plaus,implaus,22,4
The painting that the artist painted deteriorated.,The painting that the artist deteriorated painted.,center_embed,plaus,implaus,1,5
The ship that the workers built sank.,The ship that the workers sank built.,center_embed,plaus,implaus,16,6
The computer that the secretary bought crashed.,The computer that the secretary crashed bought.,center_embed,plaus,implaus,8,7
The storm that the captain feared subsided.,The storm that the captain subsided feared.,center_embed,plaus,implaus,2,8
The horse that the boy rode bucked.,The horse that the boy bucked rode.,center_embed,plaus,implaus,17,9
The soldier that the bullet wounded died.,The soldier that the bullet died wounded.,center_embed,plaus,implaus,5,10
The baby that the woman held yelled.,The baby that the woman yelled held.,center_embed,plaus,implaus,4,11
The yacht that the millionaires bought sank.,The yacht that the millionaires sank bought.,center_embed,plaus,implaus,10,12
The tree that the old man cut fell.,The tree that the old man fell cut.,center_embed,plaus,implaus,19,13
The toilet that the worker fixed clogged.,The toilet that the worker clogged fixed.,center_embed,plaus,implaus,26,14
The child that the shadow frightened yelled.,The child that the shadow yelled frightened.,center_embed,plaus,implaus,28,15
The window that the boy in the blue shirt wiped shattered.,The window that the boy in the blue shirt shattered wiped.,center_embed_mod,plaus,implaus,27,16
The bones that the doctor in the white jacket examined broke.,The bones that the doctor in the white jacket broke examined.,center_embed_mod,plaus,implaus,14,17
The shirt that the man who lives down the block bought ripped.,The shirt that the man who lives down the block ripped bought.,center_embed_mod,plaus,implaus,11,18
The bomb that the terrorist from the foreign country built exploded.,The bomb that the terrorist from the foreign country exploded built.,center_embed_mod,plaus,implaus,22,19
The painting that the artist who lived long ago painted deteriorated.,The painting that the artist who lived long ago deteriorated painted.,center_embed_mod,plaus,implaus,1,20
The ship that the workers in the blue uniforms built sank.,The ship that the workers in the blue uniforms sank built.,center_embed_mod,plaus,implaus,16,21
The computer that the secretary with the blue dress bought crashed.,The computer that the secretary with the blue dress crashed bought.,center_embed_mod,plaus,implaus,8,22
The storm that the captain with the black hair feared subsided.,The storm that the captain with the black hair subsided feared.,center_embed_mod,plaus,implaus,2,23
The horse that the boy from the local town rode bucked.,The horse that the boy from the local town bucked rode.,center_embed_mod,plaus,implaus,17,24
The soldier that the bullet with the exploding tip wounded died.,The soldier that the bullet with the exploding tip died wounded.,center_embed_mod,plaus,implaus,5,25
The baby that the woman waiting in the street held yelled.,The baby that the woman waiting in the street yelled held.,center_embed_mod,plaus,implaus,4,26
The yacht that the millionaires who everyone dislikes bought sank.,The yacht that the millionaires who everyone dislikes sank bought.,center_embed_mod,plaus,implaus,10,27
The tree that the old man from the small town cut fell.,The tree that the old man from the small town fell cut.,center_embed_mod,plaus,implaus,19,28
The toilet that the worker who we all respect fixed clogged.,The toilet that the worker who we all respect clogged fixed.,center_embed_mod,plaus,implaus,26,29
The child that the shadow in the corner of the room frightened yelled.,The child that the shadow in the corner of the room yelled frightened.,center_embed_mod,plaus,implaus,28,30
What she wrote was the contract.,What she did was the contract.,cleft,np_match,np_mismatch,26,31
What the worker did was lock the door.,What the worker installed was lock the door.,cleft,vp_match,vp_mismatch,20,32
What the workers did was pave the sidewalk.,What the workers walked down was pave the sidewalk.,cleft,vp_match,vp_mismatch,10,33
What the people collected was the trash.,What the people did was the trash.,cleft,np_match,np_mismatch,30,34
What the army did was invade the country.,What the army loved was invade the country.,cleft,vp_match,vp_mismatch,17,35
Who he did was hug his friend.,Who he called was hug his friend.,cleft,vp_match,vp_mismatch,33,36
What the worker installed was the door.,What the worker did was the door.,cleft,np_match,np_mismatch,20,37
What the people did was remove the trash.,What the people collected was remove the trash.,cleft,vp_match,vp_mismatch,30,38
What the old man cooked was the chicken.,What the old man did was the chicken.,cleft,np_match,np_mismatch,9,39
What he created was a painting.,What he did was a painting.,cleft,np_match,np_mismatch,37,40
Who the police caught was the suspect.,Who the police did was the suspect.,cleft,np_match,np_mismatch,29,41
What the woman did was mail the letter.,What the woman wrote was mail the letter.,cleft,vp_match,vp_mismatch,38,42
What they did was transport the drugs.,What they bought was transport the drugs.,cleft,vp_match,vp_mismatch,32,43
What he did was paint a painting.,What he created was paint a painting.,cleft,vp_match,vp_mismatch,37,44
