item_id,prefix,continuation,category,published_date_gmt,download_date
1,"韓網熱帖／FIFTY FIFTY控公司「丟食物侮辱」！誇張藏零食網看傻 -- 記者郭采縈／綜合報導

南韓女團FIFTY FIFTY與經紀公司ATTRAKT爆出合約糾紛，要求解約，至今為止由於未能提出明確有利的證據，遭到網友一面倒撻",伐,Entertainment,2023-08-23 16:09:00,2023-08-24
2,"SENSE滿分！姜棟元被要求比愛心「突掏出自備小物」韓網笑翻：可愛瘋了 -- 記者劉宛欣／綜合報導

被視為南韓「公共財」的高顏值男神姜棟元繼《嬰兒轉運站》後，時隔一年終於推出新電影《千博士驅魔研究所：雪景的秘密》，主演群22日在首爾舉辦發布會，在拍照時間時，早就已經預知會被要求比出各種愛心手勢的他竟有備而來，從口袋拿出自製愛心，笑翻全場，片段也被剪輯後在網路上",瘋傳,Entertainment,2023-08-23 16:07:00,2023-08-24
3,"甄妮聽李玟音檔痛哭！ 喊抓霸凌者「要她陪葬」：事實勝於雄辯 -- 記者李湘文／綜合報導

藝人李玟生前音檔在近日曝光，爆出去年錄製《中國好聲音》期間遭到節目團隊羞辱、霸凌，導致身心狀態都受到",傷害,Entertainment,2023-08-23 15:53:00,2023-08-24
4,泰國新總理出爐！親軍方政黨支持 地產大亨終結3個月僵局出線領導執政聯盟 -- 泰國今天(22日)選出新總理，由該國第二大黨「為泰黨」(Pheu Thai)推出的地產大亨賽塔(Srettha Thavisin)出任新任總理職務；賽塔將領導由11個政黨組成的執政聯盟成為泰國,新政府,World,2023-08-22 12:00:13,2023-08-22
5,烏軍有了F-16還要JASSM空對地飛彈! 美智庫 : 縱深打擊可加強2倍 -- 美國 18 日批准荷蘭、丹麥向烏克蘭交付被寄予厚望的 F-16 戰機，而烏軍方面也證實將接受有關駕駛該機的培訓，但距離能實質投入作戰，甚至駕輕就熟，外界預估還要半年甚至更長,時間,World,2023-08-22 11:09:01,2023-08-22
6,太胖陷泥裏? 金正恩視察水災 批評官員尸位素餐 氣到當場開除局長 -- 《朝中社》今（22）日報導，北韓領導人金正恩昨（21）日前往平安南道安石海涂地區視察水災救災現場，批評內閣總理金德訓、黨中央多位官員救災不力，認為內閣官員,尸位素餐,World,2023-08-22 11:03:37,2023-08-22
7,連老闆自己都不看好? 突然出現故障 大量照片被刪除 馬斯克 : X可能會失敗 -- 馬斯克近期在 X 發文說，X 「可能會,失敗,World,2023-08-22 10:58:59,2023-08-22
8,馬斯克承認了！曾為星鏈主動找普丁溝通 網友批 : 你在和殺人犯打交道 -- 特斯拉老闆馬斯克，曾在 2022 年與俄羅斯總統普丁進行過交談，內容是關於 Space X 向烏軍提供星鏈服務,一事,World,2023-08-22 10:40:47,2023-08-22
9,(影) 讓兒童體驗戰場? 俄國家禁衛軍表演突然「模擬處決」 旁觀兒童遭波及尖叫 -- 社群媒體 Ｘ（前推特）帳號 @igorsushko 昨（ 21 ）日上傳一則影片，影片中俄羅斯國家近衛軍（RosGvardia）在莫斯科州埃列克特羅斯塔爾市（Elektrostal）草地上進行模擬演練，在演練中突然向圍觀群中開槍，猶如是「模擬處決」雖然是空包彈，但仍有多名圍觀兒童因此受驚嚇，更因此,受傷,World,2023-08-22 10:34:56,2023-08-22
10,高達67%來自美國! 烏克蘭送驗俄軍武器殘骸 驚見美、日、德零件 -- 即便西方各國對俄羅斯祭出禁令，俄國仍能透國第三國購入所需的武器,零件,World,2023-08-22 10:18:35,2023-08-22
11,菲4艦硬闖仁愛礁補給！中國海警：偵獲非法行為 已做「臨時性特殊安排」 -- 中、菲於南海的對峙態勢越演,越烈,World,2023-08-22 10:15:16,2023-08-22
12,郭台銘力邀侯柯談 柯文哲：最近喝咖啡會心悸 -- 柯文哲今日表示，人與人之間不要怕溝通，不過他最近發現喝咖啡會心悸，所以喝果汁好,了,Politics,2023-08-24 04:06:36,2023-08-24
13,新竹棒球場美方報告出爐 楊玲宜狠批高虹安「像放羊的孩子」 -- 新竹市府今天公布美方專家的新竹棒球場檢測報告,結果,Politics,2023-08-24 04:00:47,2023-08-24
14,大選提早進「垃圾時間」？綠營憂大洗牌：不排除整合成1對1 -- 2024總統大選藍綠白交鋒，目前檯面上的人選有民眾黨柯文哲（左起）、民進黨賴清德、國民黨,侯友宜,Politics,2023-08-24 03:58:58,2023-08-24
15,吳崢揭「有一種惡老闆叫高虹安」 說明助理費爭議始末 -- 新北市中和區立委參選人吳崢在臉書PO文，說明助理費始末，批高虹安是惡老,闆,Politics,2023-08-24 03:38:11,2023-08-24
16,嗆柯文哲找黑道入黨 林楚茵：白色最容易被染色 -- 民進黨立委,林楚茵,Politics,2023-08-24 03:32:44,2023-08-24
17,行政院拍板明年度總預算 國防預算增314億元、達4406億元 -- 行政院會今天拍板明年中央政府總預算，其中國防預算編列4406億元，比去年增加314億元，總計蔡政府8年來，國防預算成長,38%,Politics,2023-08-24 03:31:21,2023-08-24
18,違反安理會決議！ 北韓發射偵查衛星 外交部譴責促「棄暗投明」 -- 北韓今晨2時50分左右，從平安北道東倉里地區向南發射1枚偵察衛星,火箭,Politics,2023-08-24 03:28:19,2023-08-24
19,侯友宜9/14訪美 會見國會議員、爭取僑界認同 -- 國民黨總統參選人侯友宜9月14日將出訪,美國,Politics,2023-08-24 03:24:38,2023-08-24
20,2024國防預算創新高 綠營：國家安全不能光靠嘴巴 -- 113年度國防總體預算加上基金與特別預算，將達到6068億元，創歷史新高，占GDP比率可望達,2.5%,Politics,2023-08-24 03:19:01,2023-08-24
21,柯文哲稱賴清德當選「外資跑光」 王定宇：亂噴口水還想領導國家 -- 民眾黨主席柯文,哲,Politics,2023-08-24 03:03:56,2023-08-24
