item_id,prefix,continuation,category,published_date_gmt,download_date
1,泰國新總理出爐！親軍方政黨支持 地產大亨終結3個月僵局出線領導執政聯盟 -- 泰國今天(22日)選出新總理，由該國第二大黨「為泰黨」(Pheu Thai)推出的地產大亨賽塔(Srettha Thavisin)出任新任總理職務；賽塔將領導由11個政黨組成的執政聯盟成為泰國,新政府,World,2023-08-22 12:00:13,2023-08-22
2,烏軍有了F-16還要JASSM空對地飛彈! 美智庫 : 縱深打擊可加強2倍 -- 美國 18 日批准荷蘭、丹麥向烏克蘭交付被寄予厚望的 F-16 戰機，而烏軍方面也證實將接受有關駕駛該機的培訓，但距離能實質投入作戰，甚至駕輕就熟，外界預估還要半年甚至更長,時間,World,2023-08-22 11:09:01,2023-08-22
3,太胖陷泥裏? 金正恩視察水災 批評官員尸位素餐 氣到當場開除局長 -- 《朝中社》今（22）日報導，北韓領導人金正恩昨（21）日前往平安南道安石海涂地區視察水災救災現場，批評內閣總理金德訓、黨中央多位官員救災不力，認為內閣官員,尸位素餐,World,2023-08-22 11:03:37,2023-08-22
4,連老闆自己都不看好? 突然出現故障 大量照片被刪除 馬斯克 : X可能會失敗 -- 馬斯克近期在 X 發文說，X 「可能會,失敗,World,2023-08-22 10:58:59,2023-08-22
5,(影) 烏軍開始砲轟托克馬克！M2步戰車助撤離居民 海馬斯摧毀俄電戰車 -- 烏軍第 47 獨立機械化步兵旅以 M2 步兵戰車協助撤離,居民,World,2023-08-22 10:49:05,2023-08-22
6,馬斯克承認了！曾為星鏈主動找普丁溝通 網友批 : 你在和殺人犯打交道 -- 特斯拉老闆馬斯克，曾在 2022 年與俄羅斯總統普丁進行過交談，內容是關於 Space X 向烏軍提供星鏈服務,一事,World,2023-08-22 10:40:47,2023-08-22
7,(影) 讓兒童體驗戰場? 俄國家禁衛軍表演突然「模擬處決」 旁觀兒童遭波及尖叫 -- 社群媒體 Ｘ（前推特）帳號 @igorsushko 昨（ 21 ）日上傳一則影片，影片中俄羅斯國家近衛軍（RosGvardia）在莫斯科州埃列克特羅斯塔爾市（Elektrostal）草地上進行模擬演練，在演練中突然向圍觀群中開槍，猶如是「模擬處決」雖然是空包彈，但仍有多名圍觀兒童因此受驚嚇，更因此,受傷,World,2023-08-22 10:34:56,2023-08-22
8,高達67%來自美國! 烏克蘭送驗俄軍武器殘骸 驚見美、日、德零件 -- 即便西方各國對俄羅斯祭出禁令，俄國仍能透國第三國購入所需的武器,零件,World,2023-08-22 10:18:35,2023-08-22
9,菲4艦硬闖仁愛礁補給！中國海警：偵獲非法行為 已做「臨時性特殊安排」 -- 中、菲於南海的對峙態勢越演,越烈,World,2023-08-22 10:15:16,2023-08-22
10,KONAMI 新作試玩 Metal Gear 合集初體驗 -- KONAMI 早前舉行試玩會，當中注目的肯定是《Metal Gear Solid: Master Collection Vol. 1》合集，另由歐美團隊製作的 STG 類《CYGNI: All Guns Blazing》及《Super Bomberman ,R2,Technology,2023-08-22 12:30:00,2023-08-22
11,預購加送 PS5 + Soundbar・Sony BRAVIA XR A95L QD-OLED 登場 -- 作為智能電視御三家的 Sony 發表全新的旗艦級 BRAVIA XR A95L QD-OLED，今代產品重點在於亮度的提升，峰值亮度是上代 A95K 的 2 倍，同時今代更加入包括 XR Clear Image、遊戲畫面優化及 Multi-View 分割畫面顯示，能同時顯示兩組 HDMI 的畫面，或一組串流 + 1 HDMI 畫面，打住機煲劇都,無難度,Technology,2023-08-22 12:00:00,2023-08-22
12,Apple 或取消皮革 iPhone 手機套 -- iPhone 用家會喜歡甚麼質材的手,機套,Technology,2023-08-22 11:30:00,2023-08-22
13,"Alibaba’s Taobao Tmall Group creates logistics unit to improve delivery management: report · TechNode -- Sign In

We've recently sent you an authentication link. Please, check your inbox!

Sign in with a password below, or sign in using your email.

Get a code sent to your email to sign in, or sign in using a password.

Enter the code you received via email to sign in, or sign in using a password.

Subscribe to our newsletters: Every Wednesday and Friday, TechNode’s Briefing newsletter delivers a roundup of the most important news in China tech, straight to your inbox.

Send authorization code Sign in with a password

Sign up

OR Sign in with Google

By signing up, you agree to our privacy ",policy,Technology,2023-08-22 11:03:00,2023-08-22
14,率先試玩 ZOTAC Magnus One -- 隨半導體製程改進，功耗發熱控制更佳，小型系統的遊戲表現都愈來愈強，ZOTAC 早前在 Computex 2023 發表的新一代 Magnus One 小型系統抵港開售，8.3L 容量搭載 Core i7 處理器及 GF RTX 4070 桌面顯示卡，足夠應付多數遊戲及娛樂辦公,用途,Technology,2023-08-22 10:54:32,2023-08-22
15,"光線重建提升光追效果 NVIDIA 發表 DLSS 3.5 秋季推出 -- 在即將於 8 月 23 日在德國科隆舉行 Gamescom 2023 的前夕，NVIDIA 再有新遊戲顯示技術發表——新一代深度學習超取樣技術 DLSS 3.5，引入光線重建（Ray (Tracing) Reconstruction, RR）技術，進一步提升光追",效能,Technology,2023-08-22 10:23:43,2023-08-22
16,iPhone 15又有新色？超吸睛「橙色」渲染圖曝光 -- 下個月就將迎來蘋果iPhone 15系列新機發表，除了將推出新功能，顏色也是果粉們關注的,焦點,Technology,2023-08-22 10:04:10,2023-08-22
17,東方大勝永倫闖銀牌負方決賽 鬥南華爭「復活」 - 20230823 - 體育 -- 永倫得分主力泰那上仗鬥福建時奮戰受傷，檢查後證實為拉傷腳部筋腱，此役因傷,倦勤,Health,2023-08-22 20:30:00,2023-08-22
18,港田徑隊東亞青運添5獎牌 李紫桃200米摘金 - 20230823 - 體育 -- 田徑小將李紫桃在女子200米決賽，以24.75秒首名衝線，繼女子100米後再度奪金，同時包辦港隊所有金牌；隊友邱蒨庭則以25.15秒跑入季席,摘銅,Health,2023-08-22 20:30:00,2023-08-22
19,10人阿仙奴險勝水晶宮 阿迪達諷球證判罰尺度 - 20230823 - 體育 -- 上屆亞軍阿仙奴上周於開咧戰僅以2：1力克諾定咸森林，昨仗作客面對踢穩守突擊的水晶宮上演攻防戰，鋒將加比爾馬天尼利及尼基迪亞雖在開賽初段均有入球良機，但及後大部分時間「老鼠拉龜」無從入手，反而多次被主隊藉突擊製造威,脅,Health,2023-08-22 20:30:00,2023-08-22
20,"理文3球淨負浦和紅鑽 亞冠附止步 分組賽明午抽籤 傑志列第4檔次 - 20230823 - 體育 -- 首次參加亞冠的理文於上周三外圍賽，在香港大球場主場以5：1大勝印尼峇里聯後，昨造訪有15,568人入場的埼玉2002體育場，正選陣容有兩個變動，收起愛沙尼亞國腳中鋒安尼亞及港足中場黃威，改由另一新兵港將胡晉銘鎮守中場，以及起用後衛余煒廉改踢3中堅陣式，先穩守再交由前場兩名快馬艾華頓及基華尼頓打反擊，並有數十名理文球迷入場",打氣,Health,2023-08-22 20:30:00,2023-08-22
21,格連活特告別紅魔 雙方同意分道揚鑣 料外借他國聯賽 - 20230823 - 體育 -- 格連活特去年1月底涉家暴女友等3項罪名被捕，隨即被球會一直停賽，今年2月因女友撤控而,無罪,Health,2023-08-22 20:30:00,2023-08-22
22,"體壇快訊：陳銘泰今戰世界賽 - 20230823 - 體育 -- 港殘乒韓國賽摘8牌收官

韓國殘疾人乒乓球公開賽於周一落幕，港隊共得1金1銀6銅的佳績，當中焦瑾珊在TT7級女單賽事一路過關，躋身決賽以局數3：1挫韓籍球手奪冠，其隊友王愉程則於4強止步",掛銅,Health,2023-08-22 20:30:00,2023-08-22
23,加强中非合作 促进共同发展 - 看点 - 华声在线 -- 应南非共和国总统拉马福萨邀请，习近平主席8月21日至24日出席在南非约翰内斯堡举行的金砖国家领导人第十五次会晤并对南非进行国事访问，将为中南和中非关系发展注入新,活力,Top,2023-08-22 20:21:56,2023-08-22
24,5件事讓「小弟弟硬不起來」 泌尿科醫細說軟香蕉成因 -- ▲勃起功能障礙除了影響到「性」福外，也會影響,心理健康,Health,2023-08-22 17:02:00,2023-08-22
25,蚊子最愛叮2種人！醫曝原因「常喝冰飲」也中了 -- ▲你也是蚊子喜歡叮咬的體質,嗎,Health,2023-08-22 14:05:00,2023-08-22
26,新北八里爆首例本土登革熱！30歲清潔隊員「雲林支援噴消」感染 -- ▲八里爆發登革熱本土,個案,Health,2023-08-22 06:48:00,2023-08-22
27,"「暗黑版潤娥」DJ MIU現身信義區！ 只穿內衣逛街太兇 -- 記者楊蕎綺／綜合報導

南韓正妹DJ MIU因臉蛋神似少女時代成員潤娥，被封為「暗黑版潤娥」，她經常在個人社群帳號貼出大尺度清涼照，火辣身材以及甜美臉蛋讓她在Instagram吸引超過184萬粉絲，近日，她來台參加音樂節活動，趁空還到信義區逛街，只穿著粉色運動內衣搭配牛仔短褲，清涼打扮相當",吸睛,Entertainment,2023-08-22 16:37:00,2023-08-22
28,"林煐岷酒駕退團2年回歸！公司「誤用AB6IX帳號發文」網傻眼：故意的？ -- 記者劉宛欣／綜合報導

南韓男歌手林煐岷2020年因酒駕遭吊銷駕照，同年宣布退出團體AB6IX並入伍服役，2022年退伍後SOLO出道，展開個人音樂活動，近日他將帶著新專輯回歸，怎料經紀公司卻疑似手滑選錯帳號，使用AB6IX的官方Instagram發布，馬上就在韓網引起熱烈",討論,Entertainment,2023-08-22 16:36:00,2023-08-22
29,"50萬女星認酒駕：我後悔不已！ 「有叫代駕卻投機」道歉還原過程 -- 記者郭采縈／綜合報導

28歲女星蘿拉（本名李佳玲）以模特兒出道，外型火辣、個性活潑，曾和沈玉琳主持節目打開知名度，近年也跨足經營YouTube頻道，社群累積超過52萬粉絲追",蹤,Entertainment,2023-08-22 16:16:00,2023-08-22
30,"被勸瘦下來「就可以再嫁」 歐陽靖曝身材傷痛：沒那麼容易走出來 -- 記者李湘文／綜合報導

藝人歐陽靖跟日籍前夫離婚後，帶著兒子在台灣當單親媽媽，經常上網寫文分享育兒",生活,Entertainment,2023-08-22 15:49:00,2023-08-22
31,"劉芒翻車3個月掉10萬粉絲！ 新片「不開濾鏡了」真面目曝光 -- 記者郭采縈／綜合報導

YouTuber劉芒因「拜月老」系列影片快速走紅，未料5月遭合作過攝影師及多位廠商爆料工作態度不佳、還過分要求修圖，人設大翻車引發",熱議,Entertainment,2023-08-22 15:39:00,2023-08-22
32,"偏袒FIFTY FIFTY！ 韓觀眾發起抵制《想知道真相》要求道歉、更正 -- 記者劉宛欣／綜合報導

南韓女團FIFTY FIFTY與經紀公司ATTRAKT爆出合約糾紛，要求解約，至今為止由於未能提出明確有利的證據，而遭到網友一面倒撻",伐,Entertainment,2023-08-22 15:37:00,2023-08-22
33,"賴慧如甜曝「點頭二婚」關鍵原因！ 驚吐身體亮紅燈：以為罹癌 -- 記者翁子涵／台北報導

賴慧如月初與國標舞男友劉家銘二婚，今（22日）舉辦新專輯活動，適逢七夕情人節，她透露晚上將與老公、公婆一起吃大餐慶祝，她透露老公不是浪漫的人，更笑虧求婚應該是老公至今做過最浪漫的事，但他們私下相處相當甜蜜，老公每天早上出門前都會親她一下，至於",房事,Entertainment,2023-08-22 14:47:00,2023-08-22
34,"閻奕格清唱《小美人魚》經典OST！ 小S起雞皮尖叫：妳是人類嗎 -- 記者楊蕎綺／綜合報導

實力派歌手閻奕格13年前擔任第六屆《超級星光大道》踢館賽魔王，成為不敗魔王後，再於同年參加《超級星光大道：星光傳奇賽》並奪冠，日前她上節目參加「星光同學會」，重現當年「閻羅王」氣勢外，還現場清唱電影《小美人魚》中文主題曲，聽得主持人和來賓都雞皮疙瘩",狂掉,Entertainment,2023-08-22 14:44:00,2023-08-22
35,"李妍瑾認有新歡！男友七夕長信告白「現在覺得是場夢」：珍惜每一天 -- 記者李湘文／綜合報導

藝人李妍瑾在去年跟前AV導演圤智雨閃電交往分手，單身大半年，昨（21日）出席活動，害羞坦承身邊已有新對象，但因為是圈外人，暫時不願",多談,Entertainment,2023-08-22 14:05:00,2023-08-22
36,河北彩花感謝台灣卻附五星旗？ 公司曝「被假冒」澄清：絕沒搞錯 -- ▲河北彩花及公司澄清，微博帳號「河北彩花REAL」為冒名假帳號，提醒粉絲別,誤會,Entertainment,2023-08-22 13:47:00,2023-08-22
37,陪郭台銘參拜 民眾黨籍縣長陳福海：提出有利金門政策都支持 -- 鴻海集團創辦人郭台銘今晚與民眾黨籍金門縣長陳福海、國民黨籍金門縣議長洪允典一同到金門縣烈嶼三玄宮,參拜,Politics,2023-08-22 11:28:20,2023-08-22
38,徐耀昌痛心針砭國民黨 南投副議長潘一全：心有戚戚焉 -- 針對前苗栗縣長徐耀昌退出國民黨，及對國民黨、侯友宜相關批評，人在國外的南投縣副議長潘一全也越洋回應是感觸,良多,Politics,2023-08-22 11:11:54,2023-08-22
39,情人節謝衣鳯、吳音寧大PK！「山道猴子」對上「鄉下牛郎」 -- 吳音寧、謝衣鳯的情人節PO文各有特色，網友都予以,好評,Politics,2023-08-22 11:09:33,2023-08-22
40,瑞典國會議員今年訪台第二團 蔡總統明接見 -- 「台灣瑞典國會議員協會」（STPA）副主席馬提亞（Mathias Tegnér）等6位瑞典國會議員來台訪問，蔡英文總統明天將於總統府,接見,Politics,2023-08-22 10:58:48,2023-08-22
41,國民黨控綠能害台電虧損 賴清德競辦：惡質手段削弱台灣競爭力 -- 賴清德競選辦公室發言人陳世凱說，國民黨為了走回核能老路惡意中傷綠能產業、削弱台灣產業競爭力，卻拿不出一點,實證,Politics,2023-08-22 10:50:32,2023-08-22
42,鍾佳濱：前瞻補助建設 屏東自來水、道路獲大幅改善 -- 立委鍾佳濱認為前瞻補助建設讓屏東自來水、道路獲得大幅,改善,Politics,2023-08-22 10:49:17,2023-08-22
43,喊「下架國民黨」 徐耀昌再度說明用意 -- 徐耀昌說，說出「下架國民黨」，是希望國民黨能自我,反省,Politics,2023-08-22 10:42:06,2023-08-22
44,力挺郭台銘、回鍋選立委？徐耀昌：逼急了「沒有什麼絕對」 -- 徐耀昌說，若社會需要關心苗栗的民意代表，他會考慮重操舊業參選下屆,立委,Politics,2023-08-22 10:31:45,2023-08-22
45,退黨怒轟侯友宜！徐耀昌：國民黨提出這種人選能看嗎？ -- 徐耀昌痛批侯友宜，當時不參加、不幫忙，如今大選卻要大家幫忙，「天底下有這樣的事,嗎,Politics,2023-08-22 10:19:24,2023-08-22
46,中媒稱雙城論壇是兩岸「和平之樹」 蔣萬安：多數民眾樂見交流 -- 蔣萬安表示，雙城論壇從2010年起舉辦13次、每年都舉辦，這次決定率團參加，最重要的是絕大部分的台灣民眾都希望能夠和平,繁榮,Politics,2023-08-22 10:19:06,2023-08-22
47,"韓國殘疾人乒乓球賽 港隊奪1金1銀6銅 -- （圖：香港傷殘人士體育協會）

【體路專訊】ITTF韓國殘疾人乒乓球公開賽周一（21日）圓滿結束，港隊共奪1金1銀6銅，當中焦瑾珊在TT7級女單賽事",封后,Sports,2023-08-22 16:05:14,2023-08-22
48,"比錫達斯嫌貴拒簽拉莫斯 -- 體路 · 22 小時前

【體路專訪】在所有的運動比賽中，谷底反彈後上奪冠的故事往往最引人",入勝,Sports,2023-08-22 15:10:18,2023-08-22
49,【銀牌籃球】陳張敏榮休感圓滿 南華勝方決賽16分不敵滿貫 -- 【體路專訊】香港籃球銀牌賽男子高級組勝方決賽今晚（22日）上演，賽前籃總特別舉辦儀式，向上屆甲一聯賽盟主南華球員頒發冠軍指環，同時亦為陳張敏及李劍煌舉辦榮休儀式，前者直言對17年甲一生涯,感圓滿,Sports,2023-08-22 14:56:21,2023-08-22
50,"車仔又傷一件！卓古麥卡開刀唞6周 -- now.com 體育 · 2 天前

【Now Sports】韋斯咸中場獲特包斯周日對車路士交出兩球助攻，並助球隊以3:1勝出，賽後向英國天空體育坦言享受了一場夢幻的處子戰，同時也表示自己不想和離隊的迪勤懷斯比",較,Sports,2023-08-22 14:45:47,2023-08-22
51,"雌獅軍團粉絲接機得個桔 -- 體路 · 9 小時前

【體路專訪】在1年前的暑假，香港路德會北角協同中學男籃大概也沒想到即將迎來的，是屬於他們的「黑馬」",之旅,Sports,2023-08-22 14:16:23,2023-08-22
52,【羽毛球世錦賽】李晉熙／吳芷柔反敗為勝 偕女雙楊雅婷／楊霈霖入32強 -- 【體路專訊】2023世界羽毛球錦標賽續於丹麥哥本哈根上演次天賽事，世界排名第25位的香港混雙組合李晉熙/吳芷柔首圈迎戰巴西代表Davi Silva/Sania Lima，在先失一局情況下連扳兩城反勝晉級，女雙「雙楊配」楊雅婷/楊霈霖亦旗開得勝打入32,強,Sports,2023-08-22 14:15:26,2023-08-22
53,"傳摩連奴謝拉特爭簽格連活 -- now.com 體育 · 1 天前

【Now Sports】關於曼聯周一公佈棄用美臣格連活的決定，名宿加利尼維利批評球會的處理手法非常糟糕，並指從整件事中反映球會缺乏強而有力的領導",人才,Sports,2023-08-22 13:23:42,2023-08-22
