item_id,prefix,continuation
1,An accordion is a portable musical instrument with two,keyboards
2,"One accordion keyboard is used for individual notes, the other for",chords
3,Accordions produce sound with bellows that blow air through,reeds
4,An accordionist plays both keyboards while opening and closing the,bellows
5,An apartment is a self-contained home that is part of a,building
6,"An apartment may have one or more rooms, as well as a kitchen and a",bathroom
7,"Some apartments are for single people, others for",families
8,"The apartment building can have a garage, a laundry facility or extra storage",space
9,"An apple is a fruit that can be green, red or",yellow
10,"Apples have thin skin, a crisp, sweet pulp and seeds",inside
11,Some very tart apples are used to make,cider
12,"Apples can be eaten raw, roasted or baked in",pies
13,Arson is the criminal act of burning a building or,wildland
14,A fire investigation determines if a fire was caused by accident or,arson
15,Arson can be done to cause damage to others or collect,insurance
16,The severity of the arson depends on whether people were,harmed
17,"An automobile, or car, is a wheeled vehicle for transporting",passengers
18,A car can be powered by a gasoline or electric,engine
19,"The driver steers the car on roads, other passengers just",sit
20,"Cars vary in size, number of doors and the type of",trunk
21,The axe is a tool used to split and cut,wood
22,The axe usually consists of a head attached to a,handle
23,"Historically, axe heads were made of stone and then",metal
24,Axes are used by woodcutters and firemen entering,buildings
25,"A banana is a long fruit that grows in bunchs, with a soft edible",inside
26,"A banana when ripe can be yellow, purple or red and have small brown",spots
27,"The greatest producers are tropical countries, such as India or",Ecuador
28,Unripe bananas and plantains are staple foods and often cooked like,potatoes
29,A bed is a piece of furniture used as a place to sleep or have sex,in
30,"A bed is made of a mattress and a box spring, plus sheets, pillows and",covers
31,"In water beds the mattress is filled with water, and in air beds it is filled with",air
32,"Another type of bed is the hammock, a fabric sling suspended above the",ground
33,"A bee is a flying insect, with a black and yellow body and six",legs
34,Bees spread pollen between flowers as they collect nectar to make,honey
35,Bees are social insects and live together in a colony located in a,hive
36,Many bees have stingers and can attack if they feel,threatened
37,A bicycle is a vehicle with two wheels and pedals on a,frame
38,A bicycle is propelled by the pedalling of a cyclist on the,saddle
39,The bicycle wheels have rubber tires with an inner tube full of,air
40,"People use bicycles for transportation, recreation and",racing
41,A blacksmith creates objects by forging iron or,steel
42,A blacksmith hammers and bends hot iron on an anvil to change its,shape
43,Blacksmiths wears a thick apron and handle the metal with,tongs
44,"Blacksmiths make objects like weapons, horse shoes or iron",furniture
45,A blender is a kitchen appliance used to mix ingredients or puree,food
46,Blenders have a glass or plastic container with a rotating blade in the,bottom
47,Blenders are used to make milk shakes and fruit,smoothies
48,Blenders are also used to make cold alcoholic drinks with crushed,ice
49,A boy is a young male child who has not undergone,puberty
50,The term boy is used to indicate sex distinctions relative to,girls
51,Traditionally boys like to play rough games and fight with each,other
52,An adult male behaving immaturely is often referred to as a,boy
53,Broccoli is a plant in the cabbage,family
54,"Broccoli has a green flower head and a thick, tough",stalk
